日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-11-28,=2969.6200,=5031.0600,=30972789126246.9492,=23262159998165,=9029242040007.5996,=14.2256,=0.9165,=13.5505,=12.1849,=11.0103
2025-11-27,=2972.2700,=5035.5500,=31099135041705.8516,=23343183667039,=9037853149191.6504,=14.2886,=0.9271,=13.5490,=12.1824,=11.0103
2025-11-26,=2971.8000,=5034.7600,=31004485187460.3516,=23249668577243,=9037421494989.7500,=14.2547,=0.9230,=13.5483,=12.1791,=11.0103
2025-11-25,=2968.2000,=5028.6600,=31130337042027.5703,=23347387293212,=9029818342417.2617,=14.3093,=0.9300,=13.5481,=12.1791,=11.0103
2025-11-24,=2950.5600,=4998.7800,=30928983922385.7813,=23207062179629,=8976540065470.6992,=14.1954,=0.9123,=13.5414,=12.1791,=11.0103
2025-11-21,=2955.8500,=5007.5600,=31094717682166.1445,=23325883665634,=8991430560062.8105,=14.2608,=0.9239,=13.5358,=12.1800,=11.0103
2025-11-20,=3008.2900,=5096.3900,=31484329883251.4063,=23638806724939,=9148203096315.6602,=14.4664,=0.9440,=13.5346,=12.1791,=11.0103
2025-11-19,=3020.3500,=5116.0800,=31468715730557.9883,=23678957436520,=9181469301497.7402,=14.4629,=0.9432,=13.5346,=12.1791,=11.0103
2025-11-18,=3003.0200,=5086.7200,=31149067146186.6758,=23436142289897,=9127897347491.1680,=14.3039,=0.9304,=13.5345,=12.1791,=11.0103
2025-11-17,=3012.0700,=5102.0600,=31227363426740.7617,=23524807262562,=9153030199931.7520,=14.3952,=0.9399,=13.5326,=12.1791,=11.0103
2025-11-14,=3038.4300,=5146.7000,=31500771013438.3594,=23718823594387,=9234453851800.6992,=14.5528,=0.9531,=13.5317,=12.1800,=11.0103
2025-11-13,=3073.6700,=5206.3900,=31745820950799.6523,=23923653795153,=9336879354771.3711,=14.6651,=0.9584,=13.5300,=12.1791,=11.0103
2025-11-12,=3044.3000,=5156.6500,=31616412980660.4883,=23809024642971,=9250508080040.6484,=14.5891,=0.9555,=13.5297,=12.1791,=11.0103
2025-11-11,=3034.6300,=5140.2800,=31352205912905.2539,=23621816971703,=9222762846343.4102,=14.4940,=0.9481,=13.5291,=12.1791,=11.0103
2025-11-10,=3053.8600,=5172.8400,=31438024508281.0703,=23688621050424,=9279267591817.9863,=14.5484,=0.9535,=13.5251,=12.1791,=11.0103
2025-11-07,=3038.3500,=5144.7900,=31265710742138.4492,=23541021421841,=9236387248833.8262,=14.4323,=0.9436,=13.5161,=12.1800,=11.0103
2025-11-06,=3044.7400,=5155.0600,=31339419445628.3281,=23596969515876,=9257384717946.7891,=14.4274,=0.9436,=13.5146,=12.1791,=11.0103
2025-11-05,=3007.9700,=5092.8000,=31092658159508.1719,=23396024434714,=9149292641047.9492,=14.3269,=0.9374,=13.5093,=12.1791,=11.0103
2025-11-04,=3012.9700,=5101.2700,=31139880908421.8711,=23432764030592,=9165389936364.6504,=14.3425,=0.9382,=13.5050,=12.1791,=11.0103
2025-11-03,=3016.3500,=5106.9900,=30982656800825.6953,=23340894803696,=9167284490259.9199,=14.3019,=0.9341,=13.5023,=12.1781,=11.0103
2025-10-31,=3011.5500,=5098.8700,=30807145388077.3203,=23194685032959,=9148160654867.0020,=14.2154,=0.9226,=13.4946,=12.1734,=11.0103
2025-10-30,=3046.6100,=5158.2300,=31139130564061.7617,=23444404724998,=9252590232311.5078,=14.4119,=0.9436,=13.4934,=12.1723,=11.0103
2025-10-29,=3063.0200,=5185.8700,=31248714657877.2813,=23530362814214,=9307816475238.5020,=14.3908,=0.9428,=13.4933,=12.1709,=11.0103
2025-10-28,=3050.4200,=5164.5300,=31326807438676.8984,=23583086076513,=9169353760663.0293,=14.5072,=0.9502,=13.4923,=12.1660,=11.0103
2025-10-27,=3069.5300,=5195.9600,=31362209832161.5000,=23620230911898,=9224743732300.0137,=14.5947,=0.9564,=13.4910,=12.1606,=11.0103
