日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-11-28,=7031.5500,=8723.5400,=16450269522282.0039,=14525851095326,=8420523573067.2959,=23.6784,=0.7243,=29.0924,=19.9633,=17.4999
2025-11-27,=6951.2800,=8623.9600,=16269006652196.1992,=14371952251800,=8323696275296.2188,=23.5348,=0.7184,=29.0924,=19.9599,=17.4999
2025-11-26,=6965.0500,=8640.9400,=16301283945018.7148,=14402300276356,=8341488827269.5615,=23.5373,=0.7184,=29.1255,=19.9599,=17.4999
2025-11-25,=6954.6000,=8627.8900,=16278437368555.3770,=14386572162756,=8328163243827.6670,=23.5713,=0.7188,=29.1553,=19.9599,=17.4999
2025-11-24,=6868.9700,=8521.6400,=16102833705217.3496,=14222776726922,=8225263071658.4297,=23.4072,=0.7131,=29.1826,=19.9599,=17.4999
2025-11-21,=6817.4100,=8457.6800,=15978792125990.0820,=14120301633602,=8161520472300.3555,=23.3275,=0.7107,=29.2029,=19.9633,=17.4999
2025-11-20,=7061.9500,=8761.0600,=16525560706504.3457,=14558933061751,=8455821004108.2686,=23.9801,=0.7316,=29.2029,=19.9599,=17.4999
2025-11-19,=7122.7500,=8836.4700,=16662364750046.1699,=14680354616616,=8529419904280.4512,=24.1059,=0.7345,=29.2076,=19.9599,=17.4999
2025-11-18,=7151.0200,=8871.4000,=16731178282304.7109,=14739882280871,=8565284071636.1475,=24.1329,=0.7353,=29.4479,=19.9599,=17.4999
2025-11-17,=7235.3500,=8975.9200,=16938552908161.7109,=14922628495633,=8665049989224.3701,=24.4295,=0.7423,=29.5046,=19.9599,=17.4999
2025-11-14,=7235.4600,=8975.1200,=16963338992049.2891,=14927231797931,=8665353612312.6289,=24.6392,=0.7461,=29.5383,=19.9633,=17.4999
2025-11-13,=7355.2900,=9123.5800,=17224671787984.1543,=15156833622402,=8810762903725.7090,=24.8967,=0.7501,=29.5383,=19.9599,=17.4999
2025-11-12,=7243.2500,=8984.5300,=16970094348615.2402,=14942146889937,=8676340485009.4023,=24.7185,=0.7472,=29.6093,=19.9599,=17.4999
2025-11-11,=7291.6100,=9044.1300,=17048994118737.2480,=15031131876556,=8732894573736.8076,=24.7801,=0.7472,=29.6435,=19.9599,=17.4999
2025-11-10,=7343.8000,=9108.7700,=17147491227936.8633,=15126928534229,=8794860521929.9404,=24.8554,=0.7480,=29.7882,=19.9599,=17.4999
