日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-11-28,=1465.7500,=1709.0700,=1225380995394.7800,=1130217705275,=715796380011.1099,=25.8391,=0.5778,=33.5862,=24.1167,=20.5085
2025-11-27,=1461.6400,=1703.7000,=1220666696440.0403,=1125223793340,=714062447946.5602,=25.7631,=0.5739,=33.5862,=24.1101,=20.5085
2025-11-26,=1481.5800,=1726.9500,=1236492806395.3000,=1139308637606,=723400033355.6403,=26.0657,=0.5842,=33.5905,=24.1101,=20.5085
2025-11-25,=1499.4500,=1747.7700,=1251241532889.9397,=1152947351620,=732196444575.3599,=26.3774,=0.5982,=33.6007,=24.1101,=20.5085
2025-11-24,=1462.5100,=1703.7300,=1223447017095.1602,=1127329552306,=715078449947.4502,=26.0289,=0.5821,=33.6293,=24.1101,=20.5085
2025-11-21,=1414.0100,=1647.2000,=1188025043182.2600,=1094355043495,=691853316881.6898,=25.4716,=0.5621,=33.6642,=24.1167,=20.5085
2025-11-20,=1416.8700,=1650.5300,=1191911889646.1602,=1098907207478,=693115346847.7596,=25.7065,=0.5714,=33.6642,=24.1101,=20.5085
2025-11-19,=1434.7500,=1671.3600,=1205582195322.2600,=1111415473064,=701716815166.0397,=25.9430,=0.5801,=33.6915,=24.1101,=20.5085
2025-11-18,=1467.2300,=1709.1900,=1230961052546.9502,=1134303894512,=717210075944.7698,=26.3561,=0.5961,=33.6962,=24.1101,=20.5085
2025-11-17,=1436.5400,=1673.4500,=1211358231514.9097,=1116208214409,=702489076127.6400,=26.1598,=0.5854,=33.7145,=24.1101,=20.5085
2025-11-14,=1420.7800,=1655.0800,=1203202626261.9998,=1108411452433,=695152473318.1499,=26.2564,=0.5893,=33.7596,=24.1167,=20.5085
2025-11-13,=1450.5500,=1689.7700,=1224959988894.2100,=1128574002916,=709769024418.8403,=26.5511,=0.6011,=33.7596,=24.1101,=20.5085
2025-11-12,=1441.8100,=1679.5800,=1219114949650.4502,=1122925042338,=705652761399.6201,=26.5635,=0.6023,=33.7717,=24.1101,=20.5085
2025-11-11,=1453.8200,=1693.5700,=1228062217706.7896,=1131564265206,=711137722680.6500,=26.6320,=0.6056,=33.7991,=24.1101,=20.5085
2025-11-10,=1466.8500,=1708.7500,=1236673187232.7300,=1139481126543,=717256125417.9203,=26.7234,=0.6093,=33.7994,=24.1101,=20.5085
2025-11-07,=1456.2500,=1696.4000,=1227040351642.9998,=1130020892182,=711551867413.0598,=26.5536,=0.6012,=33.8063,=24.1167,=20.5085
2025-11-06,=1474.2600,=1717.3400,=1238779933046.3799,=1140671401690,=720186035858.5099,=26.7294,=0.6089,=33.8063,=24.1101,=20.5085
2025-11-05,=1488.0100,=1732.6100,=1251332680799.9302,=1150982989557,=726911755803.4302,=26.9382,=0.6196,=33.8174,=24.1101,=20.5085
2025-11-04,=1493.4800,=1738.9900,=1254081975835.8501,=1152477606065,=729819016093.7095,=26.8808,=0.6167,=33.8240,=24.1101,=20.5085
2025-11-03,=1507.7000,=1755.5500,=1263078352083.4397,=1161640826867,=736707965627.6700,=26.9341,=0.6184,=33.8318,=24.1101,=20.5085
2025-10-31,=1469.0400,=1710.5300,=1231749662555.5796,=1133144682703,=718158286000.2500,=26.3332,=0.5938,=33.8659,=24.1167,=20.5085
2025-10-30,=1437.6300,=1673.9600,=1207424165350.7102,=1111388498957,=702034907699.3801,=26.1784,=0.5858,=33.8659,=24.1101,=20.5085
2025-10-29,=1460.5100,=1700.5800,=1226154011941.1101,=1128066000142,=712231108618.4900,=27.4072,=0.6373,=33.9086,=24.1101,=20.5085
2025-10-28,=1439,=1675.5300,=1210190304580.9199,=1113503470900,=702105769438.2700,=27.5445,=0.6435,=33.9117,=24.1101,=20.5085
2025-10-27,=1443.2900,=1680.5300,=1214525069376.4695,=1117135318703,=704284857071.3800,=27.3510,=0.6352,=33.9699,=24.1101,=20.5085
2025-10-24,=1443.0500,=1680.2500,=1215852146969.8000,=1117927426792,=704159684298.3002,=27.5669,=0.6453,=34.0085,=24.1167,=20.5085
2025-10-23,=1435.9300,=1671.7800,=1214021361991.7400,=1114768962030,=697123176522.4202,=27.7259,=0.6501,=34.0085,=24.1101,=20.5085
2025-10-22,=1429.2300,=1663.9800,=1205375922023.0300,=1109255375566,=693858653261.6499,=27.3994,=0.6361,=34.0152,=24.1101,=20.5085
2025-10-21,=1432.4900,=1667.7800,=1207209594205.4895,=1110082138599,=695479024770.3302,=27.3227,=0.6324,=34.0154,=24.1101,=20.5085
2025-10-20,=1415.9400,=1648.5100,=1194082045226.0498,=1098494040131,=687744227746.3400,=27.1120,=0.6217,=34.0368,=24.1101,=20.5085
2025-10-17,=1394.8900,=1623.8400,=1179482113791.4802,=1084844961029,=677758073425.1299,=26.9463,=0.6177,=34.0653,=24.1167,=20.5085
2025-10-16,=1432.8300,=1666.0500,=1207431906529.6299,=1110183064583,=695743961133.7496,=27.2763,=0.6287,=34.0653,=24.1101,=20.5085
2025-10-15,=1458.5200,=1695.9200,=1224773762085.5200,=1126609777160,=708298883190.9500,=27.5486,=0.6414,=34.0960,=24.1101,=20.5085
2025-10-14,=1448.9700,=1684.8100,=1218704964518.2002,=1120854227786,=703652875206.0399,=27.5262,=0.6398,=34.1495,=24.1101,=20.5085
2025-10-13,=1476.4400,=1716.7600,=1238699641822.4700,=1138850410991,=716634799868.6000,=27.5842,=0.6431,=34.1673,=24.1101,=20.5085
2025-10-10,=1501.5000,=1745.8100,=1258103164295.1399,=1157009557724,=728637986544.7397,=27.9740,=0.6580,=34.2743,=24.1167,=20.5085
2025-10-09,=1548.1300,=1800.0300,=1291017976797.3701,=1186545758449,=751054899987.8698,=28.1479,=0.6698,=34.2743,=24.1101,=20.5085
2025-09-30,=1567.5500,=1822.6100,=1312390071454.9695,=1205491088605,=761108706202.5601,=28.3059,=0.6765,=34.3979,=24.1167,=20.5085
2025-09-29,=1557.9000,=1811.3800,=1306249250055.4302,=1200357099191,=757091954870.9503,=28.3128,=0.6765,=34.4340,=24.1167,=20.5085
2025-09-26,=1552.4700,=1805.0600,=1303404758235.0500,=1196287513193,=754612952758.2598,=28.3567,=0.6787,=34.4773,=24.1185,=20.5085
2025-09-25,=1604.7000,=1865.6600,=1342291092475.5698,=1226244109056,=779953552809.1399,=28.7197,=0.6918,=34.4773,=24.1167,=20.5085
2025-09-24,=1568.2900,=1823.3200,=1314474644107.0403,=1201769596238,=762328360090.7299,=28.5845,=0.6872,=34.4835,=24.1167,=20.5085
2025-09-23,=1531.1100,=1780.0900,=1284367104921.0498,=1173464694839,=744008294462.8998,=28.0352,=0.6626,=34.5013,=24.1167,=20.5085
2025-09-22,=1549.6500,=1800.9700,=1296955060862.9302,=1184932138217,=752320346909,=28.2280,=0.6720,=34.5155,=24.1167,=20.5085
2025-09-19,=1562.6500,=1816.0700,=1311591676113.8899,=1197461799146,=758862357052.2900,=28.5318,=0.6845,=34.5352,=24.1185,=20.5085
2025-09-18,=1550.3700,=1801.1600,=1297803226832.2798,=1185226389428,=752098320324.5701,=28.3459,=0.6770,=34.5352,=24.1167,=20.5085
2025-09-17,=1579.3800,=1834.8600,=1323190480765.4199,=1208726798189,=766668226984.5101,=28.9372,=0.7021,=34.5357,=24.1167,=20.5085
2025-09-16,=1567.3100,=1820.8400,=1315479229382.2795,=1201723156397,=760017018597.5100,=28.8457,=0.6959,=34.5558,=24.1167,=20.5085
2025-09-15,=1553.8900,=1805.2500,=1309024320548.9199,=1195905368355,=753908287097.6198,=28.8173,=0.6934,=34.5612,=24.1167,=20.5085
2025-09-12,=1520.8100,=1766.8100,=1283760519551.4597,=1174339470170,=738547325231.8301,=28.7672,=0.6911,=34.5845,=24.1185,=20.5085
2025-09-11,=1533.6200,=1781.7000,=1292477924693.4197,=1181274491245,=744843997218.5199,=28.9872,=0.7029,=34.5845,=24.1167,=20.5085
2025-09-10,=1513.4100,=1758.2200,=1279001743011.2395,=1168578078896,=735141977364.3800,=28.7939,=0.6918,=34.5861,=24.1167,=20.5085
2025-09-09,=1485.6100,=1725.9300,=1258756867585.8101,=1150224312693,=722991154862.2499,=28.6377,=0.6872,=34.5941,=24.1167,=20.5085
2025-09-08,=1500.8400,=1743.6100,=1269129574449.2705,=1160018480103,=730261153223.8101,=28.9334,=0.6992,=34.6118,=24.1167,=20.5085
2025-09-05,=1469.1400,=1706.6900,=1241341634143.0205,=1135785478712,=714951712053.5500,=28.3858,=0.6779,=34.6561,=24.1185,=20.5085
2025-09-04,=1436.2500,=1668.4800,=1213630481272.4497,=1111287763198,=699588542912.7898,=27.9249,=0.6568,=34.6561,=24.1167,=20.5085
