Date,Close,市值(元),流通市值(元),自由流通市值(元),pe,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2011-08-02,3457.892,=28372754751358.0703,=19025850570878,=8735707882487.1553,34.2896,,=34.2896,=34.2896,=34.2896
2011-08-03,3462.98,=28398769636934.4609,=19046952263956,=8743462630735.1904,34.4021,=1,=34.4021,=34.3458,=34.2896
2011-08-04,3473.524,=28451520343851.3945,=19092877784636,=8769561971359.5566,34.5283,=1,=34.5283,=34.4021,=34.2896
2011-08-05,3400.429,=27886930946025.7461,=18688185992227,=8581962875686.3330,33.7889,=0,=34.4021,=34.3458,=34.2896
2011-08-08,3257.112,=26821045528578.1719,=17950601175231,=8220952499585.3584,31.9985,=0,=34.4021,=34.2896,=33.7889
2011-08-09,3256.304,=26818616833203.9414,=17960994217748,=8222007957181.1973,31.8231,=0,=34.4021,=34.0392,=31.9985
2011-08-10,3294.261,=27085357270088.9648,=18154876547653,=8319582873752.1387,32.141,=0.3333,=34.4021,=33.7889,=31.9985
2011-08-11,3348.175,=27454097757695.7500,=18415947866723,=8459063486844.1230,32.6887,=0.4286,=34.4021,=33.2388,=31.9985
2011-08-12,3370.212,=27605382979809.7500,=18519479751315,=8521907151449.4219,33.0073,=0.5000,=34.2896,=33.0073,=32.1410
2011-08-15,3419.895,=27970574818261.5898,=18772900630834,=8650723038442.7305,33.5198,=0.5556,=34.2896,=33.2635,=32.1410
2011-08-16,3395.637,=27768157849784.3789,=18644110113145,=8596729015259.2754,33.1281,=0.5000,=34.2896,=33.1281,=32.1410
2011-08-17,3384.14,=27703243601975.7578,=18587231516823,=8575403863235.8057,33.0314,=0.4545,=34.2896,=33.0797,=32.1410
2011-08-18,3323.582,=27260647839019.9219,=18318672706934,=8430948716633.3936,32.3842,=0.2500,=34.2896,=33.0314,=32.1410
2011-08-19,3292.86,=26994823987493.0898,=18160564236974,=8351421232949.2422,32.0132,=0.1538,=33.7889,=33.0193,=32.1410
2011-08-22,3263.782,=26783375013447.6211,=18014474208753,=8283474906855.6943,31.7578,=0,=33.7889,=33.0073,=32.0132
2011-08-23,3316.38,=27170450130073.4609,=18272539179275,=8407726836750.3799,32.3119,=0.3333,=33.7889,=32.8480,=32.0132
2011-08-24,3307.902,=27076162292961.1563,=18214233913726,=8384932374029.6533,32.1734,=0.3125,=33.7889,=32.6887,=32.0132
2011-08-25,3397.274,=27812238966179.9648,=18752564226942,=8615624473664.6738,32.9419,=0.5294,=33.7889,=32.8153,=32.0132
