日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-11-28,=6922.3100,=7823.9400,=1632071857443.0100,=1441585748364,=966085806195.5498,=33.7700,=0.5156,=54.8202,=33.3845,=24.1051
2025-11-27,=6884.7900,=7781.5300,=1620875316114.9895,=1430216484619,=961069060906.3600,=33.6339,=0.5105,=54.8202,=33.3758,=24.1051
2025-11-26,=6919.0100,=7819.6500,=1628435332639.3701,=1436706413886,=968297904597.2400,=33.6832,=0.5126,=54.8790,=33.3758,=24.1051
2025-11-25,=6931.0100,=7833.2100,=1630648060625.7502,=1439525603159,=968539837988.8700,=33.7360,=0.5138,=54.8890,=33.3758,=24.1051
2025-11-24,=6918.2700,=7818.8100,=1627905252422.8098,=1436916137285,=966282610433.1200,=33.6730,=0.5117,=55.0750,=33.3758,=24.1051
2025-11-21,=6856.1800,=7748.6300,=1615770082699.2500,=1427316378655,=956730582162.4900,=33.3845,=0.5000,=55.2410,=33.3845,=24.1051
2025-11-20,=6978.1900,=7886.5300,=1645008348722.1599,=1452472837392,=974324348882.0398,=34.0913,=0.5224,=55.2410,=33.3874,=24.1051
2025-11-19,=7056.2300,=7974.7300,=1664664297305.2402,=1470224514293,=984366689928.2898,=34.4329,=0.5344,=55.2956,=33.3874,=24.1051
2025-11-18,=7125.1000,=8052.5600,=1678322788867.2400,=1483183726462,=991816089565.9000,=34.7618,=0.5578,=55.3625,=33.3874,=24.1051
2025-11-17,=7156.5100,=8088.0600,=1685765275406.5901,=1489864394731,=997116512488.3400,=34.9529,=0.5677,=55.3669,=33.3874,=24.1051
2025-11-14,=7271.8200,=8218.3800,=1711467301326.5195,=1511792297124,=1012197637087.1100,=35.4625,=0.5840,=55.5894,=33.4077,=24.1051
2025-11-13,=7328.6400,=8282.5900,=1724704672518.3401,=1522781400044,=1020577097395,=35.6303,=0.5945,=55.5894,=33.3874,=24.1051
2025-11-12,=7277.8800,=8225.2200,=1710207229769.0901,=1511442915114,=1009282325945.2700,=35.5431,=0.5871,=55.6167,=33.3874,=24.1051
2025-11-11,=7287.0800,=8231.3100,=1712072634062.9097,=1512593522575,=1010770825298.3800,=35.4516,=0.5834,=55.6219,=33.3874,=24.1051
2025-11-10,=7316.8900,=8264.9800,=1719129403659.9302,=1518377578460,=1015461622610.3704,=35.4820,=0.5838,=55.6372,=33.3874,=24.1051
2025-11-07,=7188.7300,=8120.2100,=1691905003229.2200,=1493549977411,=1001789267451.0302,=34.6080,=0.5465,=55.7500,=33.4077,=24.1051
2025-11-06,=7223.8000,=8159.8200,=1700478392586.2400,=1494496685152,=1007436103912.7400,=34.6503,=0.5480,=55.7500,=33.3874,=24.1051
2025-11-05,=7234.3700,=8171.7700,=1701000864150.2595,=1495226987722,=1006979279876.3101,=34.6524,=0.5484,=55.8076,=33.3874,=24.1051
2025-11-04,=7219.7500,=8154.9400,=1698410063879.0305,=1493241922541,=1004954134418.0304,=34.5860,=0.5451,=55.8721,=33.3874,=24.1051
2025-11-03,=7354.0200,=8306.6100,=1731144788236.9199,=1521972429891,=1025198972871.4396,=35.0943,=0.5698,=55.8764,=33.3874,=24.1051
2025-10-31,=7393.0500,=8350.6900,=1743916791928.9900,=1533181388594,=1034069733052.3098,=35.2091,=0.5728,=55.9001,=33.4077,=24.1051
2025-10-30,=7312.9600,=8260.2300,=1726678367290.8896,=1519871061417,=1022390518378.1500,=34.4851,=0.5389,=55.9001,=33.3874,=24.1051
2025-10-29,=7501.5400,=8473.2300,=1777757679582.4302,=1563879980859,=1056761134527.0696,=34.5793,=0.5443,=55.9621,=33.3874,=24.1051
2025-10-28,=7426.3300,=8388.2800,=1762813723414.8303,=1552949434301,=1046219542350.1796,=34.6505,=0.5467,=55.9767,=33.3874,=24.1051
2025-10-27,=7485.0600,=8454.6200,=1775815737381.4695,=1562702809779,=1056090479612.5198,=34.8229,=0.5578,=56.0528,=33.3874,=24.1051
2025-10-24,=7447.8300,=8412.5600,=1765429698331.3999,=1555037458746,=1049871612737.9000,=34.1741,=0.5247,=56.0954,=33.4077,=24.1051
2025-10-23,=7396.6300,=8353.5700,=1753843923391.5500,=1545216452010,=1040084749894.5300,=33.8487,=0.5159,=56.0954,=33.3874,=24.1051
2025-10-22,=7387.8700,=8343.6800,=1749848925176.8899,=1541710781543,=1037178750132.5398,=33.7861,=0.5138,=56.1197,=33.3874,=24.1051
2025-10-21,=7446.4900,=8409.8800,=1763494620033.4700,=1554479846811,=1046327023242.6698,=33.8316,=0.5150,=56.1823,=33.3874,=24.1051
2025-10-20,=7365.7000,=8318.6400,=1743855008209.9299,=1537236000978,=1032748586770.4204,=33.6016,=0.5093,=56.2074,=33.3874,=24.1051
2025-10-17,=7345.8500,=8296.2200,=1739445971328.2708,=1534149087364,=1027888217636.0300,=33.5286,=0.5049,=56.2679,=33.4077,=24.1051
2025-10-16,=7538.6900,=8512.4800,=1785638578664.7805,=1574434086436,=1057350195312.9600,=34.3393,=0.5282,=56.2679,=33.3874,=24.1051
2025-10-15,=7552.8400,=8528.4600,=1785879428659.4397,=1571168031147,=1057066690463.0300,=34.4586,=0.5340,=56.3210,=33.3874,=24.1051
2025-10-14,=7447.0300,=8408.9900,=1761923621397.1396,=1551069610858,=1040051517505.1702,=34.0734,=0.5200,=56.3414,=33.3874,=24.1051
2025-10-13,=7541.9600,=8516.1700,=1788030564943.4998,=1574726208825,=1057423641245.6000,=34.0241,=0.5187,=56.4194,=33.3874,=24.1051
2025-10-10,=7711.7100,=8706.7000,=1832427544231.6704,=1613432543019,=1085416610412.7200,=34.6658,=0.5428,=56.4331,=33.4077,=24.1051
2025-10-09,=7892.4500,=8910.7600,=1878546916573.5200,=1655348621627,=1118703399599.1201,=34.8929,=0.5574,=56.4331,=33.3874,=24.1051
2025-09-30,=7820.2400,=8829.2300,=1861694233075.9905,=1638624973446,=1108558723457.0701,=34.6688,=0.5432,=56.4627,=33.4077,=24.1051
2025-09-29,=7664.8000,=8653.5200,=1818403600020.5200,=1600506469571,=1079982154629.6700,=34.2774,=0.5255,=56.4966,=33.4077,=24.1051
2025-09-26,=7618.7900,=8601.5700,=1806694837401.7200,=1589879492271,=1071286959600.7404,=34.2340,=0.5237,=56.5643,=33.4155,=24.1051
2025-09-25,=7774.7200,=8771.2600,=1845592959066.3596,=1624932670065,=1096970019874.2998,=34.5866,=0.5391,=56.5643,=33.4077,=24.1051
2025-09-24,=7700.6300,=8685.8900,=1821360935591.0300,=1601380269736,=1082206960227.8000,=34.5421,=0.5366,=56.5691,=33.4077,=24.1051
2025-09-23,=7580.6600,=8550.5700,=1796504532419.8501,=1579582909143,=1067887403338.3101,=33.9488,=0.5173,=56.5835,=33.4077,=24.1051
2025-09-22,=7738.3300,=8725.5300,=1835424718373.1699,=1613274124507,=1092668157106.7496,=34.5072,=0.5342,=56.5843,=33.4077,=24.1051
2025-09-19,=7768.5000,=8759.5400,=1840077354363.9600,=1617217209249,=1095072792015.3700,=34.7107,=0.5434,=56.5995,=33.4155,=24.1051
2025-09-18,=7832.7000,=8831.9400,=1853073449343.1599,=1628608941635,=1101275992703.1902,=34.9170,=0.5547,=56.5995,=33.4077,=24.1051
2025-09-17,=7946.5700,=8960.3300,=1879214315470.0901,=1650909850450,=1117000271671.7000,=35.5054,=0.5712,=56.6186,=33.4077,=24.1051
2025-09-16,=7951.9300,=8966.3800,=1879358792452.8799,=1634526125757,=1115039067989.4700,=35.5147,=0.5712,=56.6391,=33.4077,=24.1051
2025-09-15,=7920.0200,=8930.4000,=1873842917165.8301,=1630343390438,=1111493595814.4199,=35.3301,=0.5642,=56.7049,=33.4077,=24.1051
2025-09-12,=7855.1200,=8857.2200,=1862163211688.7009,=1620598417368,=1102997437189.1399,=35.3428,=0.5644,=56.7069,=33.4155,=24.1051
2025-09-11,=7879.4000,=8884.6000,=1868986002503.1001,=1626756225298,=1105241564460.0703,=35.5968,=0.5757,=56.7069,=33.4077,=24.1051
2025-09-10,=7836.3400,=8836.0400,=1858466754709.8503,=1616525193876,=1102550602338.5603,=35.3555,=0.5667,=56.7310,=33.4077,=24.1051
