日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-11-28,=1869.6700,=2179.4100,=6858809206934.4121,=6160028910534,=3625668273667.2202,=27.5695,=0.6531,=31.8583,=24.5658,=20.5687
2025-11-27,=1851.9000,=2158.7000,=6808697094681.8965,=6120764121427,=3598002825031.0708,=27.3725,=0.6451,=31.8583,=24.5624,=20.5687
2025-11-26,=1850.9500,=2157.5900,=6805272072212.5703,=6118053367421,=3598534413652.3989,=27.2797,=0.6414,=31.8673,=24.5624,=20.5687
2025-11-25,=1850.0100,=2156.4900,=6803957707858.9902,=6118869673660,=3596984203324.8389,=27.2978,=0.6427,=31.8705,=24.5624,=20.5687
2025-11-24,=1826.9900,=2129.6200,=6747677715865.6895,=6071501030560,=3562417809110.3110,=27.1162,=0.6365,=31.8773,=24.5624,=20.5687
2025-11-21,=1827.4600,=2130.1700,=6749052855733.7852,=6072021010791,=3561181131482.6011,=27.1066,=0.6354,=31.9019,=24.5658,=20.5687
2025-11-20,=1922.9500,=2241.4800,=7016855091908.4561,=6304043787001,=3713379021349.4902,=28.1554,=0.6682,=31.9019,=24.5624,=20.5687
2025-11-19,=1954.1400,=2277.8400,=7137682877623.4688,=6414789226421,=3778551160423.9292,=28.4066,=0.6739,=31.9724,=24.5624,=20.5687
2025-11-18,=1947.5200,=2270.1200,=7102950572525.0322,=6384835480835,=3759410149013.1978,=28.3994,=0.6735,=31.9781,=24.5624,=20.5687
2025-11-17,=2003.5200,=2335.3900,=7255426797804.6113,=6518057181523,=3849235207877.2490,=28.9560,=0.6962,=31.9872,=24.5624,=20.5687
2025-11-14,=2011.0100,=2344.1300,=7322135714261.2100,=6584134398362,=3884802751569.0322,=29.2187,=0.7082,=31.9954,=24.5658,=20.5687
2025-11-13,=2039.4800,=2377.3200,=7431785107015.7803,=6680737006822,=3945863224123.6108,=29.5248,=0.7225,=31.9954,=24.5624,=20.5687
2025-11-12,=1969.2500,=2295.4500,=7179619241451.8594,=6456280259457,=3798215898604.2690,=29.0995,=0.7015,=32.0380,=24.5624,=20.5687
2025-11-11,=2018.8600,=2353.2800,=7306989712693.8799,=6562969564491,=3868846491096.9600,=29.5023,=0.7209,=32.0771,=24.5624,=20.5687
2025-11-10,=2022.8200,=2357.8900,=7307295588580.8906,=6567860381850,=3871841294863.7490,=29.4537,=0.7188,=32.1026,=24.5624,=20.5687
