Date,Close,市值(元),流通市值(元),自由流通市值(元),pe,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2015-01-21,2459.1382,=491252831007.3000,=455488288326,=184706705266.7901,23.9381,,=23.9381,=23.9381,=23.9381
2015-01-22,2463.4093,=490107857955.5000,=454517845737,=184543418773.9200,23.9412,=1,=23.9412,=23.9396,=23.9381
2015-01-23,2424.0689,=484041632048.8000,=449135468197,=182358671407.4300,23.608,=0,=23.9412,=23.9381,=23.6080
2015-01-26,2464.09,=491236153491.8000,=455661864762,=184950476886.5700,23.9366,=0.3333,=23.9381,=23.9373,=23.9366
2015-01-27,2456.6871,=488332147540.1000,=452952145259,=184028567707.7200,23.8651,=0.2500,=23.9381,=23.9366,=23.8651
2015-01-28,2429.6242,=481796829598.6000,=446769551332,=181616976412.1200,23.625,=0.2000,=23.9381,=23.9008,=23.6250
2015-01-29,2401.8625,=476441967055.3000,=441868923539,=179588707404.4700,23.3378,=0,=23.9381,=23.8651,=23.6080
2015-01-30,2416.1602,=479319375914.3000,=444460115539,=180499904685.4900,23.4882,=0.1429,=23.9381,=23.7451,=23.4882
2015-02-02,2357.3569,=469897936931,=435346694833,=176657745374.1000,23.111,=0,=23.9366,=23.6250,=23.4882
2015-02-03,2383.2948,=477357330102.3000,=442401078168,=179320960775.4000,23.3931,=0.2222,=23.9366,=23.6165,=23.3931
2015-02-04,2390.8875,=478641171250.6000,=443128192490,=179292451062.6500,23.4466,=0.3000,=23.9366,=23.6080,=23.3931
2015-02-05,2370.161,=473824459680.6000,=438336330584,=177114558287.2900,23.1619,=0.0909,=23.9366,=23.5481,=23.3378
2015-02-06,2301.2049,=464594891897.1000,=430216403721,=173725948118.2001,22.5044,=0,=23.9366,=23.4882,=23.1619
2015-02-09,2377.2502,=483277133112.4000,=448043606451,=180695066658.7000,23.1066,=0.0769,=23.8651,=23.4674,=23.1619
2015-02-10,2404.4973,=485216073062.7000,=449861521155,=181671833709.1200,23.4475,=0.5000,=23.8651,=23.4475,=23.1619
2015-02-11,2416.1567,=486292176601.7000,=450902714289,=182171094875.6301,23.5001,=0.6000,=23.8651,=23.4678,=23.1619
2015-02-12,2406.4388,=486208976182.2000,=451064897297,=182302074511.0600,23.5456,=0.6250,=23.8651,=23.4882,=23.1619
2015-02-13,2414.7126,=485211981056.7000,=450019239078,=182112565037.1101,23.6677,=0.7647,=23.8651,=23.4941,=23.1619
2015-02-16,2419.344,=486816292321.8000,=451363981002,=182531702475.8700,23.7155,=0.7778,=23.7155,=23.5001,=23.3378
2015-02-17,2398.9932,=483260967464.2000,=448061121146,=181198573784.0700,23.5282,=0.5263,=23.7155,=23.5142,=23.3378
2015-02-25,2361.7913,=477723071310.5000,=443543909559,=179584178356.5800,23.222,=0.2000,=23.7155,=23.5001,=23.2220
2015-02-26,2408.9015,=486517341078.0999,=451720082936,=182907419643.8400,23.63,=0.7143,=23.7155,=23.5142,=23.2220
2015-02-27,2444.8175,=495192811252.7000,=459903258251,=186089190149.8400,23.8972,=0.8636,=23.8651,=23.5282,=23.2220
2015-03-02,2433.2799,=492369709505.4000,=457352779641,=185223764884.3100,23.8202,=0.7826,=23.8202,=23.5369,=23.3378
2015-03-03,2388.38,=482197942660.6000,=447589490671,=181315421364.2700,23.4675,=0.3750,=23.8202,=23.5282,=23.3378
2015-03-04,2418.5477,=486664756802.7000,=451829693030,=183134467751.2500,23.756,=0.7600,=23.8202,=23.5369,=23.3378
2015-03-05,2402.79,=482580322417.6000,=447970849101,=181583028095.7001,23.5806,=0.5385,=23.8202,=23.5456,=23.3378
2015-03-06,2401.6107,=480696339078,=446139724415,=181015615930.9700,23.624,=0.5926,=23.8202,=23.5631,=23.3378
2015-03-09,2433.3694,=492471641458.2000,=457498000616,=185450071693.2100,23.9762,=1,=23.8202,=23.5806,=23.3931
2015-03-10,2419.2974,=486934224542.4000,=452342664808,=183566455140.3500,23.8256,=0.7931,=23.8256,=23.5943,=23.3931
2015-03-11,2443.2891,=492998242356.6000,=458282401743,=185914169018.7300,23.9433,=0.9667,=23.8651,=23.6080,=23.3931
2015-03-12,2456.8903,=496752692063.8000,=461780295705,=187182788517.9800,24.1628,=1,=23.8972,=23.6160,=23.3931
2015-03-13,2449.5701,=493199267404.3000,=458191599506,=185804236683.0200,24.0887,=0.9688,=23.9366,=23.6240,=23.3931
2015-03-16,2501.5103,=503324636350.3000,=467736321318,=189768474584.0100,24.6186,=1,=23.9366,=23.6245,=23.4466
2015-03-17,2551.9322,=511968883021.6000,=475876148583,=193161091403.1100,25.0741,=1,=23.9381,=23.6250,=23.4466
2015-03-18,2584.8048,=518544513655.8000,=482096031164,=195744538865.2100,25.3864,=1,=23.9412,=23.6275,=23.4466
2015-03-19,2554.2661,=510612457460.2000,=474320892429,=192651225801.9900,25.0962,=0.9722,=23.9433,=23.6300,=23.4466
2015-03-20,2561.7265,=509009899118.4000,=472850994594,=192307065250.2400,25.1663,=0.9730,=23.9762,=23.6489,=23.4466
2015-03-23,2591.4032,=514394009627,=477800850140,=194351966309.6401,25.406,=1,=23.9762,=23.6677,=23.4475
2015-03-24,2628.8916,=519597615233.1000,=482364811626,=196098864300.8800,25.6792,=1,=24.0887,=23.6916,=23.4475
2015-03-25,2597.6434,=512075718900.3000,=475134359271,=193404395335.8400,25.4246,=0.9750,=24.1628,=23.7155,=23.4475
2015-03-26,2692.5595,=529099004303.6000,=491007955202,=200025199755.6500,26.382,=1,=24.6186,=23.7358,=23.4475
2015-03-27,2665.4458,=522352436552.2000,=484551738444,=197373828845.9400,26.1285,=0.9762,=25.0741,=23.7560,=23.4475
2015-03-30,2701.7999,=528789720149.1000,=490809781190,=200004208081.2100,26.5014,=1,=25.0741,=23.7881,=23.4675
2015-03-31,2663.6791,=522941424131.3000,=485512190162,=197838191886.2901,27.7883,=1,=25.0962,=23.8202,=23.4675
2015-04-01,2671.9761,=523307796699.8000,=485691401377,=197969369760.2600,27.9067,=1,=25.1663,=23.8229,=23.4675
2015-04-02,2678.3802,=523851121642.4000,=486075482089,=198155761657.4501,27.9685,=1,=25.3864,=23.8256,=23.4675
2015-04-03,2692.2505,=528016453707.9000,=489928435633,=199573750761.1800,28.144,=1,=25.4060,=23.8453,=23.4675
2015-04-07,2752.7988,=539568650150.5000,=500708164632,=204049269162.0100,28.7834,=1,=25.4060,=23.8651,=23.4882
2015-04-08,2794.9412,=550794557325.3000,=509882295221,=207327748478.4100,29.4989,=1,=25.4246,=23.8811,=23.4882
2015-04-09,2721.9134,=536701207247.6000,=496995556750,=202190195004.2800,28.6369,=0.9600,=25.6792,=23.8972,=23.4882
2015-04-10,2785.9464,=545586496041.7000,=504148555454,=205306780457.2900,29.5354,=1,=26.1285,=23.9169,=23.4882
2015-04-13,2836.5194,=554414326068.1001,=512648046013,=209011636287.5701,29.9371,=1,=26.3820,=23.9366,=23.4882
2015-04-14,2871.155,=560395915637.2000,=518681153930,=211547268571.8100,30.0521,=1,=26.3820,=23.9373,=23.5001
2015-04-15,2800.0339,=551817806908.7999,=511415421545,=208414569644.9300,29.3031,=0.9259,=26.5014,=23.9381,=23.5001
2015-04-16,3027.4143,=601817679951,=557798849066,=227069773912.9400,31.8496,=1,=27.7883,=23.9396,=23.5001
2015-04-17,3006.5655,=604707960440.2001,=561601391666,=228218619526.3200,31.3176,=0.9821,=27.9067,=23.9412,=23.5001
2015-04-20,2931.2587,=596352383698.2001,=554710553837,=225106383147.8800,30.6263,=0.9649,=27.9685,=23.9422,=23.5001
2015-04-21,3148.4692,=647696490660.7000,=603142673559,=244149516440.2100,32.3979,=1,=27.9685,=23.9433,=23.5282
