日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-11-28,=9697.5600,=13307.3600,=3114093460338.2295,=3093625900422,=1390584874733.9600,=23.9977,=0.2123,=38.3783,=31.1238,=23.6209
2025-11-27,=9687.7000,=13293.8400,=3110139814094.9604,=3089661682741,=1388442288985.9900,=23.9920,=0.2120,=38.3783,=31.1244,=23.6209
2025-11-26,=9674.4600,=13275.6700,=3110175364807.2500,=3089968316966,=1389157106488.0801,=23.9566,=0.2079,=38.3783,=31.1244,=23.6209
2025-11-25,=9659.6200,=13255.2900,=3104036363704.4600,=3083517171155,=1386755728512.4998,=23.9883,=0.2112,=38.3783,=31.1253,=23.6209
2025-11-24,=9655.2700,=13249.3300,=3111992282052.9600,=3091476315974,=1390316242421.9402,=23.9713,=0.2091,=38.3783,=31.1259,=23.6209
2025-11-21,=9700.6400,=13311.5900,=3136901436504.4800,=3116617501872,=1401846508717.9099,=23.9630,=0.2082,=38.3783,=31.1262,=23.6209
2025-11-20,=9809.4600,=13460.9200,=3149821694212.4097,=3129893607241,=1408483653239.0100,=24.2683,=0.2186,=38.3783,=31.1309,=23.6209
2025-11-19,=9826.1900,=13483.8800,=3155359320513.8696,=3135598232466,=1411023826423.2900,=24.2323,=0.2178,=38.3783,=31.1357,=23.6209
2025-11-18,=9918.8500,=13611.0300,=3172946987542.5400,=3153052056168,=1419067012898.4602,=24.4317,=0.2240,=38.3783,=31.1378,=23.6209
2025-11-17,=9946.3200,=13648.7200,=3169743979465.9707,=3149919875619,=1417572604036.6797,=24.5286,=0.2264,=38.3783,=31.1447,=23.6209
2025-11-14,=9937.4100,=13636.4900,=3151590387567.2490,=3131695310987,=1409526958805.2996,=24.5467,=0.2267,=38.3783,=31.1531,=23.6209
2025-11-13,=10098.4000,=13857.4000,=3190107867595.5498,=3169611985251,=1426219990400.2400,=24.9240,=0.2338,=38.3783,=31.1550,=23.6209
2025-11-12,=10018.7900,=13748.1700,=3171740674982.2197,=3151617420444,=1418449018483.8799,=24.6910,=0.2293,=38.3783,=31.1550,=23.6209
2025-11-11,=10040.1000,=13777.4000,=3168406876158.4897,=3148217510082,=1416702716980.3799,=24.7597,=0.2305,=38.3783,=31.1582,=23.6209
2025-11-10,=10052.6800,=13794.6700,=3173769428134.4590,=3153757652692,=1419265251688.7500,=24.8226,=0.2305,=38.3783,=31.1596,=23.6209
2025-11-07,=9568.9800,=13130.9200,=3071831975707.9404,=3053081354807,=1374325981717.4900,=23.7051,=0.2025,=38.3783,=31.1610,=23.6209
2025-11-06,=9599.5100,=13172.8200,=3076207398375.6709,=3057296381937,=1376094399863.3899,=23.8111,=0.2038,=38.3783,=31.1664,=23.6209
2025-11-05,=9604.7900,=13180.0600,=3059873793732.4507,=3040767459153,=1368441552565.2195,=23.8811,=0.2046,=38.3783,=31.1758,=23.6209
2025-11-04,=9667.7300,=13266.4300,=3080179616774.5996,=3060735599149,=1377441902344.3503,=23.9981,=0.2091,=38.3783,=31.1758,=23.6209
2025-11-03,=9792.0900,=13437.0800,=3106706797873.1499,=3087094599000,=1389096910694.0205,=24.2733,=0.2166,=38.3783,=31.1758,=23.6209
2025-10-31,=9757.9500,=13390.2300,=3096464915241.7295,=3076656381502,=1384698182352.2300,=24.1877,=0.2148,=38.3783,=31.1717,=23.6209
2025-10-30,=9592.8300,=13163.6500,=3070496217298.9604,=3051858744592,=1374215307851.6499,=21.3008,=0.1186,=38.3783,=31.1758,=23.6209
2025-10-29,=9565.9000,=13126.6900,=3073127009203.3901,=3054595473538,=1382749821763.9500,=20.5883,=0.0811,=38.3783,=31.1758,=23.6241
2025-10-28,=9630.7800,=13215.7300,=3099228597745.6499,=3080459780460,=1394084002465.5798,=20.2885,=0.0642,=38.3783,=31.1758,=23.6328
2025-10-27,=9600.5200,=13174.2000,=3089928318819.3008,=3071261903486,=1390399654439.8701,=21.0557,=0.1042,=38.3783,=31.1758,=23.6480
2025-10-24,=9607.6000,=13183.9100,=3102073690006.4302,=3083238242985,=1395906789019.0100,=21.0007,=0.1021,=38.3783,=31.1717,=23.6590
2025-10-23,=9813.3600,=13466.2700,=3150315984800.0303,=3131183784990,=1417548953162.1802,=21.3433,=0.1198,=38.3783,=31.1758,=23.6815
2025-10-22,=9739.7500,=13365.2600,=3127365556029.4800,=3108433073732,=1407354104532.1399,=21.1995,=0.1095,=38.3783,=31.1758,=23.7668
2025-10-21,=9774.3700,=13412.7600,=3137236015537.8496,=3117998453283,=1411315777002.3501,=21.3207,=0.1186,=38.3783,=31.1758,=23.7733
2025-10-20,=9775.7500,=13414.6600,=3133144718257.7603,=3113711146253,=1408858753343.7705,=21.3111,=0.1169,=38.3783,=31.1758,=23.8008
2025-10-17,=9824.7600,=13481.9100,=3138319324580.0698,=3119133353966,=1410762202612.1499,=21.3540,=0.1185,=38.3783,=31.1717,=23.8140
2025-10-16,=9985.7900,=13702.8800,=3195428541574.9404,=3175849769332,=1436698938755.0105,=21.7146,=0.1330,=38.3783,=31.1758,=23.8187
2025-10-15,=9846.6500,=13511.9500,=3149036883602.3301,=3129941142201,=1416648669113.6697,=21.5016,=0.1223,=38.3783,=31.1758,=23.8830
2025-10-14,=9779.9000,=13420.3600,=3128643839556.1592,=3109549280365,=1407336878909.5002,=21.4162,=0.1202,=38.3783,=31.1758,=23.8970
2025-10-13,=9510.7900,=13051.0700,=3055162183111.0498,=3036592873747,=1374028732669.3301,=20.8823,=0.0947,=38.3783,=31.1758,=23.9019
2025-10-10,=9615.3200,=13194.5100,=3082203096896.1992,=3063214444787,=1386042973532.6902,=21.1378,=0.1070,=38.3783,=31.1717,=23.9392
2025-10-09,=9659.2500,=13254.8000,=3096983931111.7705,=3077798776951,=1392416873079.0798,=21.2067,=0.1091,=38.3783,=31.1758,=23.9507
2025-09-30,=9768.0800,=13404.1300,=3119951729932.5107,=3100198441930,=1402136851240.9397,=21.4561,=0.1202,=38.3783,=31.1717,=23.9615
2025-09-29,=9851.8000,=13519.0200,=3149107518503.2100,=3129394749741,=1415848581990.3701,=21.6262,=0.1272,=38.3783,=31.1717,=23.9672
2025-09-26,=9660.2600,=13256.1800,=3091113287979.3306,=3072098747462,=1390101617433.5002,=21.2347,=0.1115,=38.3783,=31.1664,=23.9716
2025-09-25,=9727.2400,=13348.0800,=3107196584598.3989,=3088087793252,=1397340636510.9900,=21.3141,=0.1152,=38.3783,=31.1717,=23.9719
2025-09-24,=9830.8200,=13490.2300,=3125343666912.9297,=3106014620022,=1405289840042.3701,=21.5464,=0.1218,=38.3783,=31.1717,=23.9769
2025-09-23,=9825.7900,=13483.3200,=3130859090707.1401,=3111495453109,=1407786350846.6101,=21.5105,=0.1198,=38.3783,=31.1717,=23.9830
2025-09-22,=9908.3000,=13596.5500,=3148090689118.1304,=3128520902517,=1415424606267.3501,=21.7412,=0.1296,=38.3783,=31.1717,=23.9986
2025-09-19,=10058.0200,=13802,=3185962639210.2905,=3166133915376,=1432510426848.7200,=22.0466,=0.1394,=38.3783,=31.1664,=24.0042
2025-09-18,=10030.4600,=13764.1800,=3183751458068.5503,=3163813020662,=1430852674342.5901,=22.0214,=0.1383,=38.3783,=31.1717,=24.0171
2025-09-17,=10227.9300,=14035.1600,=3240454368476.3896,=3220278070699,=1456591510460.2900,=22.4583,=0.1539,=38.3783,=31.1717,=24.0257
2025-09-16,=10332.1300,=14178.1400,=3261271386787.2202,=3240495614693,=1465220351649.6399,=22.6561,=0.1609,=38.3783,=31.1717,=24.0639
2025-09-15,=10330.9500,=14176.5300,=3281565092707.5298,=3260848555681,=1474289566087.7100,=22.6093,=0.1588,=38.3783,=31.1717,=24.0800
