日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-11-28,=5545.8400,=11593.9300,=21600772967360.6445,=15333830044078,=4486425288199.1602,=11.4043,=0.7230,=13.1563,=9.9950,=8.4290
2025-11-27,=5540,=11581.7200,=21764619508335.9180,=15446188178924,=4512423379734.4395,=11.4210,=0.7250,=13.1563,=9.9943,=8.4290
2025-11-26,=5530.7900,=11562.4700,=21643872200945.2461,=15337675244192,=4495837426972.5000,=11.4003,=0.7229,=13.1585,=9.9943,=8.4290
2025-11-25,=5554.2200,=11611.4400,=21877843399605.8047,=15496722788256,=4521363010175.8604,=11.4551,=0.7262,=13.1743,=9.9943,=8.4290
2025-11-24,=5527.1700,=11553.1900,=21678896297143.6875,=15370886656547,=4477493895098.3682,=11.3822,=0.7205,=13.1802,=9.9943,=8.4290
2025-11-21,=5554.5200,=11610.3700,=21894363480425.4102,=15532540014239,=4515179519839.4492,=11.4330,=0.7243,=13.1847,=9.9950,=8.4290
2025-11-20,=5656.0400,=11818.5400,=22086890213866.6797,=15687480693802,=4574556256217.3672,=11.6287,=0.7295,=13.1847,=9.9943,=8.4290
2025-11-19,=5668.6600,=11840.7400,=21935640900259.8047,=15652928558175,=4560303016300.6484,=11.5996,=0.7287,=13.1926,=9.9943,=8.4290
2025-11-18,=5659.7800,=11822.1800,=21637430715879.0430,=15447326142178,=4519728479723.4902,=11.5623,=0.7283,=13.1932,=9.9943,=8.4290
2025-11-17,=5739.3200,=11988.3400,=21747597487528.6836,=15542296126489,=4552401188290.6094,=11.6779,=0.7299,=13.1979,=9.9943,=8.4290
2025-11-14,=5767.5600,=12047.3200,=21941206333346.4492,=15668288978880,=4592922741163.9395,=11.7626,=0.7337,=13.2023,=9.9950,=8.4290
2025-11-13,=5801.9900,=12119.2400,=21964617564776.8281,=15704027478740,=4602197239060.4600,=11.8026,=0.7357,=13.2023,=9.9943,=8.4290
2025-11-12,=5786.4200,=12086.7200,=21985186132511.7461,=15711500194582,=4594585638750.1895,=11.7935,=0.7353,=13.2104,=9.9943,=8.4290
2025-11-11,=5782.5900,=12078.7200,=21775732346341.5586,=15549414550481,=4568056573354.3584,=11.7668,=0.7340,=13.2127,=9.9943,=8.4290
2025-11-10,=5795.3900,=12103.6800,=21727794282228.0391,=15516157778385,=4568201887466.0479,=11.7771,=0.7340,=13.2158,=9.9943,=8.4290
2025-11-07,=5752.9400,=12011.5700,=21564570770620.2109,=15407101670234,=4536165471461.7217,=11.6842,=0.7296,=13.2389,=9.9950,=8.4290
2025-11-06,=5745.9000,=11996.8600,=21598392947463.2578,=15421094948898,=4537016695767.4492,=11.6696,=0.7295,=13.2389,=9.9943,=8.4290
2025-11-05,=5723.3900,=11949.8600,=21613074501710.4023,=15420645801044,=4528287593778.6396,=11.6499,=0.7291,=13.2414,=9.9943,=8.4290
2025-11-04,=5699.4500,=11899.8700,=21633022883992.0391,=15412198079598,=4526266261336.8115,=11.6254,=0.7283,=13.2425,=9.9943,=8.4290
2025-11-03,=5678.4300,=11855.9900,=21337049758529.2500,=15224833890010,=4476386732481.1611,=11.5324,=0.7270,=13.2440,=9.9943,=8.4290
2025-10-31,=5627.6700,=11750.0100,=21008982435309.9258,=15002715085784,=4425768762025.4111,=11.4186,=0.7235,=13.2623,=9.9950,=8.4290
2025-10-30,=5630.5500,=11756.0300,=21158691105303.7109,=15098209431898,=4423728385520.6191,=11.2752,=0.7110,=13.2623,=9.9943,=8.4290
2025-10-29,=5653.7500,=11804.4700,=21152470817018.4414,=15097481469134,=4426988474426.5996,=11.2560,=0.7089,=13.2698,=9.9943,=8.4290
2025-10-28,=5651.6500,=11799.2300,=21386253281620.4688,=15261239703447,=4469987682227.0088,=11.3408,=0.7155,=13.2739,=9.9943,=8.4290
2025-10-27,=5681.5000,=11861.5400,=21384646566415.2813,=15258648853535,=4503922181386.8418,=11.4757,=0.7242,=13.2802,=9.9943,=8.4290
2025-10-24,=5655.0800,=11806.3800,=21210696582070.0117,=15121611841095,=4486160875434.9785,=11.4447,=0.7226,=13.2934,=9.9950,=8.4290
2025-10-23,=5691.9000,=11867.9100,=21262727576128.4570,=15169721270428,=4510145512150.1494,=11.4982,=0.7238,=13.2934,=9.9943,=8.4290
