Date,Close,市值(元),流通市值(元),自由流通市值(元),pe,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2011-08-02,3020.872,=1051695125919.3002,=696395233870,=453970562413.9676,49.2692,,=49.2692,=49.2692,=49.2692
2011-08-03,3036.235,=1059132402978.2998,=699694173778,=456310444096.6668,49.7318,=1,=49.7318,=49.5005,=49.2692
2011-08-04,3040.864,=1058828433996.1000,=701298509355,=457009867933.0624,49.6484,=0.5000,=49.7318,=49.6484,=49.2692
2011-08-05,2982.663,=1039989611699.1000,=688453116425,=448244153145.5905,48.5635,=0,=49.6484,=49.4588,=49.2692
2011-08-08,2834.722,=988958343448,=654597070484,=426260203410.9153,45.8659,=0,=49.6484,=49.2692,=48.5635
2011-08-09,2839.905,=989128062175.4000,=655716138948,=426986235517.8950,45.7193,=0,=49.6484,=48.9164,=45.8659
2011-08-10,2890.747,=1005795344194.4998,=667920381268,=434439881818.0554,46.5614,=0.3333,=49.6484,=48.5635,=45.8659
2011-08-11,2928.466,=1020299407036.3002,=677426315169,=440155602484.7267,47.2901,=0.4286,=49.6484,=47.9268,=45.8659
2011-08-12,2979.445,=1037367273429.6000,=691910180376,=448474409172.5935,47.9975,=0.5000,=49.2692,=47.9975,=46.5614
2011-08-15,3025.74,=1055019578366.9000,=702115060391,=455153205178.4536,48.9364,=0.6667,=49.2692,=48.2805,=46.5614
2011-08-16,2997.074,=1045543652592.9000,=695666366960,=450817894429.2048,48.4257,=0.5000,=49.2692,=48.4257,=46.5614
2011-08-17,2984.15,=1041479038327.7000,=691743243574,=449246624515.0182,48.288,=0.4545,=49.2692,=48.3568,=46.5614
2011-08-18,2938.256,=1022115252606.8998,=685107401236,=442351796137.6564,47.0994,=0.2500,=49.2692,=48.2880,=46.5614
2011-08-19,2915.598,=1015571571118.2000,=679709396291,=440557546535.3607,46.7231,=0.2308,=48.9364,=48.1427,=46.7231
2011-08-22,2884.301,=1006128200336.8000,=671938571547,=435894553615.6601,46.5312,=0.1429,=48.9364,=47.9975,=46.5614
2011-08-23,2943.667,=1026905096611.1000,=684945034032,=445776561532.0514,47.5984,=0.4667,=48.9364,=47.7979,=46.5614
2011-08-24,2963.113,=1034053950299.1000,=690118749437,=448727644126.2509,47.653,=0.5000,=48.9364,=47.6530,=46.5614
2011-08-25,3001.004,=1046541287202.9000,=698931789451,=455454652637.6088,48.3046,=0.6471,=48.9364,=47.8252,=46.5614
2011-08-26,3014.512,=1050959708306.4000,=701985861413,=458710833865.9355,48.5114,=0.7222,=48.5635,=47.9975,=46.7231
2011-08-29,2998.504,=1045291664888.8000,=698851300442,=458290655304.2065,47.9515,=0.4737,=48.5635,=47.9745,=46.7231
2011-08-30,2963.093,=1030895062473.1000,=690999215522,=453000917080.0349,47.4342,=0.3500,=48.5635,=47.9515,=46.7231
2011-08-31,2933.636,=1021078707653.7000,=684367809780,=448727390649.0106,46.9396,=0.2381,=48.5635,=47.8022,=46.7231
2011-09-01,2916.024,=1015096609907.1000,=680272702042,=446006095651.9461,46.7792,=0.2273,=48.5635,=47.6530,=46.7231
2011-09-02,2895.001,=1007511455498.1002,=677644431297,=442970560598.9115,46.3706,=0.0870,=48.5114,=47.6257,=46.7231
2011-09-05,2818.286,=981157278741,=659583347208,=431162287724.8383,45.1846,=0,=48.5114,=47.5984,=46.5614
2011-09-06,2795.731,=972599518481.5000,=654241424382,=427714172608.4950,44.6722,=0,=48.5114,=47.5163,=46.5312
2011-09-07,2862.311,=996169383387.4000,=669715112529,=437792390175.6331,45.8259,=0.1154,=48.5114,=47.4342,=46.3706
2011-09-08,2838.904,=988485471269.2998,=664856585533,=434434944364.9428,45.3669,=0.0741,=48.5114,=47.3622,=45.8659
2011-09-09,2818.397,=981532934246.3998,=660115384294,=431369315611.7005,44.9907,=0.0357,=48.4257,=47.2901,=45.8659
2011-09-13,2768.856,=964364946467.6000,=648667946064,=423881298682.6405,44.2472,=0,=48.4257,=47.1948,=45.8259
2011-09-14,2798.533,=974836015414.9004,=655986414891,=428402168128.9820,44.7971,=0.0667,=48.4257,=47.0994,=45.7193
2011-09-15,2801.802,=976668880050.2000,=657606108644,=428846339307.3720,44.8496,=0.0968,=48.4257,=47.0195,=45.3669
2011-09-16,2797.486,=975089854282.3998,=656471134314,=428283945166.7762,44.7798,=0.0625,=48.4257,=46.9396,=45.1846
2011-09-19,2728.772,=952164766008.2000,=641779784469,=417752009888.3944,43.6519,=0,=48.3046,=46.8594,=45.1846
2011-09-20,2741.871,=956198150370.5000,=644611756022,=419742755928.3385,43.8195,=0.0294,=48.3046,=46.7792,=44.9907
2011-09-21,2821.334,=983237799350.1000,=662979304333,=431899744626.6784,45.1615,=0.2286,=48.3046,=46.7511,=44.9907
2011-09-22,2745.621,=957568099518,=646655358624,=420398362128.8251,43.8616,=0.0556,=48.3046,=46.7231,=44.8496
2011-09-23,2733.914,=951714872302.5000,=643455300416,=418668831571.3180,43.532,=0,=48.3046,=46.6422,=44.7971
2011-09-26,2694.407,=937815924639.6002,=634124611001,=412622334254.1672,42.8575,=0,=48.2880,=46.5614,=44.7971
2011-09-27,2697.543,=936491229355.1998,=634512959348,=413080058547.7401,42.9745,=0.0256,=48.2880,=46.5463,=44.7798
2011-09-28,2651.822,=920437725739.1000,=623982815983,=406020452106.1959,42.2795,=0,=48.2880,=46.5312,=44.6722
2011-09-29,2565.413,=912058314933.7000,=603960569063,=392916035082.0076,40.872,=0,=48.2880,=46.4509,=44.2472
2011-09-30,2562.382,=911237885818.1000,=602640205195,=392322901869.3601,40.745,=0,=48.2880,=46.3706,=43.8616
2011-10-10,2549.736,=909005126489,=599729876182,=391136691442.0347,40.612,=0,=47.9975,=46.1182,=43.8616
2011-10-11,2532.562,=903316310884.6000,=595411330070,=388795217300.4285,40.3125,=0,=47.9975,=45.8659,=43.8195
2011-10-12,2618.127,=909475406494.7000,=612096569076,=399327814001.7369,41.7231,=0.0889,=47.9975,=45.8459,=43.6519
