Date,Close,市值(元),流通市值(元),自由流通市值(元),pe,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2011-08-02,5902.07,=957132496469.2002,=748441145666,=451625910279.8001,39.8608,,=39.8608,=39.8608,=39.8608
2011-08-03,5908.295,=959145864757.6000,=749012735628,=451977317290.9427,39.9162,=1,=39.9162,=39.8885,=39.8608
2011-08-04,5908.53,=958428837591.1000,=748736172959,=452017471525.7489,39.8853,=0.5000,=39.9162,=39.8853,=39.8608
2011-08-05,5838.312,=945963263469.5000,=740067380038,=446824987131.3156,39.2047,=0,=39.8853,=39.8731,=39.8608
2011-08-08,5624.006,=910975769031.1998,=713525784847,=429599283262.7794,37.285,=0,=39.8853,=39.8608,=39.2047
2011-08-09,5609.241,=909091215031.4000,=711997932870,=428643700597.0971,37.0626,=0,=39.8853,=39.5328,=37.2850
2011-08-10,5669.935,=919621122100.7996,=719239926833,=433275603328.2490,37.5301,=0.3333,=39.8853,=39.2047,=37.2850
2011-08-11,5836.237,=945185731687,=740393579799,=446102272947.5732,38.4983,=0.4286,=39.8853,=38.8515,=37.2850
2011-08-12,5894.612,=954899511915,=747568625461,=449987336316.8241,38.8738,=0.5000,=39.8608,=38.8738,=37.5301
2011-08-15,5954.0,=963999604404.1002,=755342086908,=454581598055.8268,39.3764,=0.6667,=39.8608,=39.0392,=37.5301
2011-08-16,5889.395,=953199745260.9000,=746243131143,=449518610442.3107,38.8838,=0.5000,=39.8608,=38.8838,=37.5301
2011-08-17,5855.869,=947920678591.6000,=741961101850,=447025338769.3526,38.6548,=0.3636,=39.8608,=38.8788,=37.5301
2011-08-18,5755.602,=931697099066.5002,=730955733418,=439562932554.5983,37.9373,=0.2500,=39.8608,=38.8738,=37.5301
2011-08-19,5737.481,=929163398261.0996,=729255413638,=438099694736.3242,37.9348,=0.2308,=39.3764,=38.7643,=37.9348
2011-08-22,5649.087,=917009617354.7998,=718348269646,=431365722747.3952,37.6268,=0.2143,=39.3764,=38.6548,=37.6268
2011-08-23,5713.876,=928901137454.2000,=726543369566,=441562489040.8496,37.9721,=0.4000,=39.3764,=38.5765,=37.6268
2011-08-24,5735.474,=932437397421.4000,=728456294056,=443162242111.6266,38.1016,=0.4375,=39.3764,=38.4983,=37.6268
2011-08-25,5825.736,=946029624832.4000,=740234648284,=452078256312.8684,38.742,=0.5882,=39.3764,=38.5765,=37.6268
2011-08-26,5841.671,=948205393070.8000,=741322120879,=454409207489.1116,38.9315,=0.7222,=39.2047,=38.6548,=37.9348
2011-08-29,5836.502,=946784453505.3000,=740669567769,=454412561136.6586,38.9185,=0.6842,=39.2047,=38.6984,=37.9348
2011-08-30,5773.471,=936457444641.4000,=733428123009,=449898408751.8666,38.2283,=0.4000,=39.2047,=38.6548,=37.9348
2011-08-31,5754.987,=933205724414.4998,=730872445481,=452165441598.2794,37.805,=0.1905,=39.2047,=38.5765,=37.8050
2011-09-01,5699.314,=925028424918.7998,=723788049447,=448590899829.2561,37.4347,=0.0909,=39.2047,=38.4983,=37.6268
2011-09-02,5630.219,=915541618485,=715670604756,=442996195990.6708,37.0923,=0.0435,=38.9315,=38.3633,=37.6268
2011-09-05,5505.533,=895082184496.0999,=699934630486,=433267396994.6604,36.2033,=0,=38.9315,=38.2283,=37.5301
2011-09-06,5454.304,=886394178470.4999,=693005662323,=429179607692.1621,35.8396,=0,=38.9315,=38.1650,=37.4347
2011-09-07,5543.541,=902800424026.6000,=704848502441,=436111706272.9243,36.5967,=0.0769,=38.9315,=38.1016,=37.2850
2011-09-08,5536.359,=901925132214.7998,=704519937640,=435562857697.6541,36.5432,=0.0741,=38.9315,=38.0368,=37.0923
2011-09-09,5476.367,=893296154672,=697414122065,=430872763759.6005,36.1547,=0.0357,=38.9185,=37.9721,=37.0923
2011-09-13,5374.208,=876512041400.4999,=684618807464,=422780358700.4285,35.4674,=0,=38.9185,=37.9547,=37.0626
2011-09-14,5410.917,=882818458994.6003,=689010303336,=425567928679.7378,35.7877,=0.0333,=38.9185,=37.9373,=36.5967
2011-09-15,5410.226,=882749803770.6000,=688568889992,=425435094379.5539,35.8158,=0.0645,=38.9185,=37.9360,=36.5432
2011-09-16,5409.45,=882415032624.8999,=688772963992,=425445081319.4002,35.7922,=0.0625,=38.9185,=37.9348,=36.2033
2011-09-19,5332.61,=869088522044.9001,=679367197835,=419391323689.4400,35.2058,=0,=38.8838,=37.8699,=36.2033
2011-09-20,5348.146,=871218026046.9001,=681289112901,=420592167154.7446,35.3199,=0.0294,=38.8838,=37.8050,=36.1547
2011-09-21,5486.211,=893178840254.2998,=698548401065,=431500304407.2472,36.2472,=0.2571,=38.8838,=37.7159,=36.1547
2011-09-22,5324.32,=867086660474.5000,=678915003783,=418710310757.2015,35.1967,=0,=38.8838,=37.6268,=35.8396
2011-09-23,5276.556,=859481748745.7001,=672787001735,=415009433424.3866,34.9071,=0,=38.8838,=37.5785,=35.8158
2011-09-26,5177.332,=843905566513.2000,=660271875562,=407149138303.2612,34.3504,=0,=38.8738,=37.5301,=35.8158
2011-09-27,5181.671,=844876643235.2000,=660325501628,=407653056170.1572,34.3777,=0.0256,=38.8738,=37.4824,=35.7922
2011-09-28,5110.206,=833888431704.7999,=651978429957,=402202485792.1925,33.9412,=0,=38.8738,=37.4347,=35.7877
2011-09-29,4986.632,=813568719200.6001,=637142341576,=392616018976.7731,33.0165,=0,=38.8738,=37.3598,=35.4674
2011-09-30,4984.517,=813941162067.5002,=636867945444,=392553266703.6723,33.0029,=0,=38.8738,=37.2850,=35.3199
2011-10-10,4987.449,=813587583883.0004,=636926418693,=392871188634.3973,32.9282,=0,=38.7420,=37.1886,=35.3199
2011-10-11,4967.914,=810168853376.0001,=634394752357,=391450259527.4011,32.8287,=0,=38.7420,=37.0923,=35.2058
2011-10-12,5124.869,=834872877802.2001,=653633778557,=403794179105.9662,33.9108,=0.0889,=38.7420,=37.0774,=35.1967
2011-10-13,5184.079,=844569652429.4001,=661134775259,=408375081089.2406,34.3166,=0.1304,=38.7420,=37.0626,=34.9071
2011-10-14,5146.687,=838774586019.0001,=656204501627,=405312406169.0397,34.0883,=0.1277,=38.7420,=36.8296,=34.3777
2011-10-17,5147.593,=838309928836.2001,=656558202422,=405228162573.5903,34.1121,=0.1458,=38.6548,=36.5967,=34.3777
2011-10-18,5013.406,=815832056017.7002,=640010908301,=394606999118.3868,33.0296,=0.0816,=38.6548,=36.5699,=34.3504
