日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-11-28,=9067.3000,=10868.3600,=4740666206502.2803,=3826483561934,=2275238167419.6689,=23.9231,=0.2613,=39.9215,=27.2329,=23.4018
2025-11-27,=9049.2500,=10846.7200,=4725501450450.3486,=3816252547805,=2270485226483.1494,=23.9019,=0.2594,=39.9215,=27.2347,=23.4018
2025-11-26,=9095.1700,=10901.7700,=4743192240978.3604,=3834229355070,=2282360275301.1812,=23.9796,=0.2668,=39.9430,=27.2400,=23.4018
2025-11-25,=9043.5200,=10839.8600,=4718716436574.0977,=3815255721043,=2269990923510.7700,=23.9315,=0.2618,=39.9456,=27.2460,=23.4018
2025-11-24,=9010.4500,=10800.2100,=4704602595703.4482,=3800959326401,=2261565745968.1104,=23.8303,=0.2511,=39.9592,=27.2515,=23.4018
2025-11-21,=8926.4000,=10699.4700,=4658023825820.9004,=3771721855216,=2240169076120.7798,=23.7115,=0.2379,=40.0131,=27.2679,=23.4018
2025-11-20,=9105.3100,=10913.9200,=4747612345098.5605,=3845743208615,=2285019575357.8398,=24.2328,=0.2931,=40.0131,=27.2694,=23.4018
2025-11-19,=9156.4700,=10975.2400,=4771684765272.3096,=3869889775125,=2298151047545.5107,=24.3509,=0.3026,=40.0329,=27.2817,=23.4018
2025-11-18,=9234.3900,=11068.6400,=4818291678574.6602,=3905203053384,=2317646740416.5303,=24.5575,=0.3203,=40.0586,=27.2947,=23.4018
2025-11-17,=9283.3200,=11127.2800,=4840859076123.2607,=3925673588997,=2330159377430.2905,=24.7428,=0.3368,=40.0761,=27.2970,=23.4018
2025-11-14,=9447.0700,=11323.5600,=4931067550838.7891,=3994999759018,=2371528414778.7388,=25.2152,=0.3790,=40.1400,=27.3010,=23.4018
2025-11-13,=9498.2700,=11384.9400,=4958614231389.4902,=4013552894339,=2384299800924.6191,=25.2896,=0.3858,=40.1400,=27.3057,=23.4018
2025-11-12,=9373.5700,=11235.4700,=4888219849068.8496,=3967640770649,=2352957355882.6709,=25.1943,=0.3771,=40.1711,=27.3152,=23.4018
2025-11-11,=9337.2900,=11188.0100,=4848549201773.0996,=3951463945340,=2344004687872.7891,=25.1141,=0.3705,=40.1892,=27.3224,=23.4018
2025-11-10,=9369.1800,=11226.2200,=4864195789561.3379,=3962590808006,=2351998320385.6011,=25.1234,=0.3713,=40.2283,=27.3260,=23.4018
2025-11-07,=9246.1300,=11078.7800,=4798888658459.2900,=3905179107088,=2321288363402.6108,=24.6967,=0.3317,=40.2350,=27.3354,=23.4018
2025-11-06,=9278.9400,=11118.0700,=4813174638570.0488,=3909035996302,=2329858056707.2388,=24.5559,=0.3195,=40.2350,=27.3452,=23.4018
2025-11-05,=9256.2200,=11090.1500,=4798585061643.7900,=3902773798897,=2324507124858.4897,=24.5143,=0.3170,=40.2711,=27.3561,=23.4018
2025-11-04,=9266.8200,=11102.7000,=4809545622216.8682,=3909830588837,=2327389285102.7988,=24.5187,=0.3170,=40.2730,=27.3604,=23.4018
2025-11-03,=9438.2500,=11308.0800,=4906491070894.3311,=3979971531015,=2370948454771.5498,=24.8465,=0.3421,=40.2762,=27.3661,=23.4018
2025-10-31,=9488.1000,=11367.8100,=4938248539421.6484,=3992686323301,=2383532357842.5908,=24.8498,=0.3420,=40.3280,=27.3799,=23.4018
2025-10-30,=9315.9300,=11161.5400,=4821788763839.3623,=3921551671789,=2335384215657.2100,=24.4148,=0.3084,=40.3280,=27.3823,=23.4018
2025-10-29,=9516.3900,=11401.7100,=4915856179914.9111,=3993918564369,=2386209535862.2104,=24.3145,=0.2997,=40.3341,=27.3875,=23.4018
2025-10-28,=9456.7600,=11330.2600,=4889165243544.6592,=3975034967980,=2369124737192.5293,=24.3102,=0.2989,=40.3744,=27.3910,=23.4018
2025-10-27,=9565.6700,=11460.5700,=4934289173784.7383,=4009752901434,=2395791053138.1001,=24.9567,=0.3512,=40.4214,=27.3919,=23.4018
2025-10-24,=9484.5400,=11360.8600,=4888797588886.5703,=3981225332656,=2378031095044.3809,=24.8124,=0.3391,=40.4419,=27.3982,=23.4018
2025-10-23,=9453.7100,=11323.9400,=4875663695064.3398,=3975592847124,=2368559922339.8389,=24.8557,=0.3417,=40.4419,=27.4035,=23.4018
2025-10-22,=9481,=11356.6200,=4900732266497.4277,=3987104251004,=2375339302961.2397,=24.9068,=0.3466,=40.4478,=27.4106,=23.4018
2025-10-21,=9548.6200,=11435.6100,=4933962786636.3906,=4014514297091,=2392397264390.0112,=24.9039,=0.3458,=40.4644,=27.4136,=23.4018
2025-10-20,=9454.0700,=11321.7100,=4880840860643.7783,=3979811433107,=2368321773945.9907,=24.7971,=0.3380,=40.4662,=27.4211,=23.4018
2025-10-17,=9443.5200,=11307.6700,=4879979918936.4805,=3979244242314,=2364627488133.9507,=24.7463,=0.3337,=40.4844,=27.4281,=23.4018
2025-10-16,=9638.3500,=11538.1600,=4980342602417.0498,=4054874501763,=2413862687330.4893,=25.1305,=0.3648,=40.4844,=27.4303,=23.4018
2025-10-15,=9612.3300,=11506.8800,=4958034671896.2393,=4043637082301,=2407429104771.1401,=25.1359,=0.3648,=40.5087,=27.4341,=23.4018
2025-10-14,=9446.4800,=11308.3300,=4875176139203.8691,=3981252405945,=2365543590960.4297,=24.8446,=0.3392,=40.5138,=27.4455,=23.4018
2025-10-13,=9622.2500,=11518.7400,=4970381145053.0586,=4049310842069,=2409709077875.9507,=24.8940,=0.3438,=40.5402,=27.4567,=23.4018
2025-10-10,=9815.1400,=11748.2400,=5055512673916.4199,=4125290029864,=2458550727863.7803,=25.2739,=0.3749,=40.5576,=27.4674,=23.4018
2025-10-09,=10010.2200,=11981.7400,=5161416467246.5215,=4193749998224,=2508345068888.4097,=25.2727,=0.3746,=40.5576,=27.4800,=23.4018
2025-09-30,=9985.5700,=11952.2400,=5158999123448.2500,=4181079522131,=2501886489867.5386,=25.0930,=0.3601,=40.5705,=27.5343,=23.4018
2025-09-29,=9811.9700,=11742.4200,=5075648318727.1709,=4118211512927,=2458081362485.8203,=25.0166,=0.3527,=40.5741,=27.5371,=23.4018
2025-09-26,=9791.0100,=11717.3300,=5071298275225.4502,=4112391155312,=2452014709917.6089,=24.9743,=0.3484,=40.5945,=27.5487,=23.4018
2025-09-25,=9985.0900,=11943.2700,=5176071515664.9102,=4188369800494,=2501200220370.0093,=25.1795,=0.3654,=40.5945,=27.5583,=23.4018
2025-09-24,=9899.9700,=11839.8100,=5124568756580.2988,=4153701273568,=2479635084139.8389,=25.2567,=0.3708,=40.6082,=27.5617,=23.4018
2025-09-23,=9761.7300,=11669.7900,=5048296565698.4023,=4093173254671,=2444701269596.5015,=24.8866,=0.3428,=40.6156,=27.5625,=23.4018
2025-09-22,=9933.8200,=11874.1500,=5137426948129.3994,=4157824454395,=2488405175051.2485,=25.1832,=0.3650,=40.6288,=27.5698,=23.4018
2025-09-19,=9949.9000,=11893.3800,=5141980887153.3604,=4166414929428,=2492533690967.1812,=25.2994,=0.3727,=40.6498,=27.5834,=23.4018
2025-09-18,=10065.4000,=12031.4400,=5206302541661.1201,=4216429502865,=2521032775246.1299,=25.5558,=0.3963,=40.6498,=27.5852,=23.4018
2025-09-17,=10094.4700,=12064.7900,=5216564579992.2002,=4229874795239,=2529110443699.7505,=25.7032,=0.4091,=40.6562,=27.6056,=23.4018
2025-09-16,=10075.2200,=12040.0300,=5212485327064.6523,=4208341947140,=2524921569049.4893,=25.7262,=0.4128,=40.6675,=27.6188,=23.4018
