日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-11-28,=13423.8600,=17895.9600,=5134438954257.0420,=4770357309998,=2297526970761.9893,=22.4191,=0.1498,=38.4303,=29.2248,=23.7121
2025-11-27,=13353.9500,=17802.7500,=5115946300777.0596,=4753629133692,=2287016263778.3105,=22.3266,=0.1457,=38.4303,=29.2255,=23.7421
2025-11-26,=13361.4200,=17812.7100,=5116844524358.8594,=4755226390552,=2288856617393.6201,=22.3310,=0.1462,=38.4505,=29.2318,=23.7487
2025-11-25,=13366.9100,=17820.0300,=5116351442682.3301,=4751955886685,=2288473907917.1499,=22.4014,=0.1482,=38.4649,=29.2417,=23.7565
2025-11-24,=13345.3500,=17791.2800,=5119516010259.8086,=4755436093109,=2288478587637.3789,=22.3534,=0.1466,=38.4840,=29.2478,=23.7679
2025-11-21,=13378.0500,=17834.8700,=5145119184792.9785,=4780508536657,=2298316418434.3896,=22.3651,=0.1473,=38.5019,=29.2596,=23.7745
2025-11-20,=13486.3500,=17979.2600,=5179305259585.4678,=4808482642769,=2312744162403.7803,=22.6600,=0.1593,=38.5019,=29.2611,=23.8096
2025-11-19,=13550.1300,=18064.2900,=5203760898024.1797,=4827176501390,=2322601553858.8799,=22.8233,=0.1688,=38.5054,=29.2669,=23.8117
2025-11-18,=13593.0900,=18121.5600,=5220732456609.9600,=4843391065369,=2330341911762.3506,=22.8666,=0.1709,=38.5236,=29.2718,=23.8139
2025-11-17,=13590.5800,=18117.2100,=5223807468167.7119,=4845203641873,=2328163629725.3398,=22.9859,=0.1750,=38.5245,=29.2755,=23.8450
2025-11-14,=13638.4300,=18181,=5226524264859.5107,=4838490247830,=2328823939211.0908,=23.1360,=0.1802,=38.5642,=29.2918,=23.8550
2025-11-13,=13800.5300,=18397.0900,=5285191382654.4404,=4892239902247,=2355095640265.2803,=23.4222,=0.1881,=38.5642,=29.2996,=23.8797
2025-11-12,=13729.2500,=18302.0700,=5261193701087.7598,=4868430251969,=2343959042699.7002,=23.3078,=0.1853,=38.5702,=29.3099,=23.8805
2025-11-11,=13722.2900,=18292.7800,=5255249722727.5313,=4861817120208,=2340693745344.5811,=23.2588,=0.1844,=38.5957,=29.3174,=23.8974
2025-11-10,=13730.3300,=18303.5000,=5257963060304.5498,=4866990170035,=2343011781737.0596,=23.2747,=0.1844,=38.6237,=29.3273,=23.9072
2025-11-07,=13277.4400,=17699.7700,=5101844969811.4688,=4724966385950,=2273801419223.7803,=22.5593,=0.1539,=38.6389,=29.3366,=23.9163
2025-11-06,=13270.4300,=17690.4200,=5100721262016.6416,=4724662652406,=2273789312387.3696,=22.5803,=0.1556,=38.6389,=29.3514,=23.9335
2025-11-05,=13252.5200,=17666.2800,=5082912079893.1904,=4706568484403,=2265605036270.4199,=22.5607,=0.1540,=38.6744,=29.3670,=23.9521
2025-11-04,=13281.6400,=17705.0900,=5101718870613.4297,=4724983014797,=2272584416619.6201,=22.5774,=0.1544,=38.6793,=29.3696,=23.9925
2025-11-03,=13470.1600,=17956.4000,=5161529541133.3408,=4777680159980,=2298896718885.6611,=22.8556,=0.1688,=38.6907,=29.3865,=24.0008
2025-10-31,=13429.7200,=17886.9600,=5146912906115.7598,=4763723144857,=2291607252105.7603,=22.7498,=0.1634,=38.7011,=29.4033,=24.0017
2025-10-30,=13319.9800,=17740.8000,=5106855958325.6689,=4730498818666,=2278344140246.5703,=21.2490,=0.1107,=38.7011,=29.4064,=24.0072
2025-10-29,=13357.0200,=17790.1300,=5122598502800.1494,=4744389857826,=2292787518238.3501,=21.4125,=0.1173,=38.7030,=29.4112,=24.0207
2025-10-28,=13375.3500,=17814.5500,=5137510316409.8799,=4761469419060,=2300074121089.3188,=21.2542,=0.1107,=38.7196,=29.4221,=24.0491
2025-10-27,=13418.6900,=17872.2700,=5145897551832.6709,=4768375488410,=2303523466187.0898,=21.0583,=0.1021,=38.7307,=29.4356,=24.0795
2025-10-24,=13379.2000,=17819.6800,=5145275169146.4395,=4772721816410,=2301865466450.8999,=20.9424,=0.0963,=38.7471,=29.4481,=24.0956
2025-10-23,=13514.4100,=17999.7700,=5201951439882.3506,=4828577078639,=2326315292889.8804,=20.9220,=0.0959,=38.7471,=29.4861,=24.0971
2025-10-22,=13472.4600,=17943.8800,=5187065259532.5811,=4810598069966,=2317612670315.6401,=20.7557,=0.0865,=38.7725,=29.5286,=24.0982
2025-10-21,=13556.8800,=18056.3300,=5215889952360.4082,=4834802503486,=2330111550514.7495,=20.6378,=0.0807,=38.7782,=29.5336,=24.0994
2025-10-20,=13537.5200,=18030.5400,=5205977031700.4727,=4825627014665,=2325636006714.1396,=20.6112,=0.0795,=38.7867,=29.5495,=24.1744
2025-10-17,=13632.4700,=18157.0100,=5232386827704.9189,=4848471584545,=2336374523288.8701,=20.7576,=0.0856,=38.8108,=29.5716,=24.1919
2025-10-16,=13809.1600,=18390.4900,=5308683176572.2393,=4919447941506,=2371113933703.0005,=21.0092,=0.0972,=38.8108,=29.5780,=24.1933
2025-10-15,=13761.2500,=18302.2800,=5272691430193.2490,=4879504708885,=2356097569284.5601,=21.0471,=0.0976,=38.8243,=29.5953,=24.1949
2025-10-14,=13707.3400,=18230.5800,=5244155292336.1992,=4853134825836,=2344867488533.6396,=20.9616,=0.0955,=38.8323,=29.6138,=24.2006
2025-10-13,=13531.3000,=17996.4500,=5168506104330.7793,=4778930885704,=2309639050452.2397,=20.7494,=0.0852,=38.8371,=29.6461,=24.2027
2025-10-10,=13664.9500,=18174.2000,=5220178492981.6094,=4828012477833,=2330861327837.4204,=20.9569,=0.0942,=38.8605,=29.6775,=24.2196
2025-10-09,=13633.5600,=18132.4600,=5216696252487.0596,=4825934460428,=2329498740801.8608,=20.8209,=0.0877,=38.8605,=29.6817,=24.2243
