Date,Close,市值(元),流通市值(元),自由流通市值(元),pe,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2011-08-02,3447.849,=8515536598258.6992,=4754148131431,=1955739092137.2336,16.9752,,=16.9752,=16.9752,=16.9752
2011-08-03,3446.762,=8512689480207.0996,=4746884173907,=1954534059428.1091,17.0305,=1,=17.0305,=17.0029,=16.9752
2011-08-04,3446.349,=8501338827512.5010,=4741527434164,=1954141423400.7256,17.0666,=1,=17.0666,=17.0305,=16.9752
2011-08-05,3363.613,=8357685025707.3008,=4653532394666,=1906334485663.4905,16.788,=0,=17.0305,=17.0029,=16.9752
2011-08-08,3254.656,=8143962034835.7998,=4517059075177,=1844874430356.8584,16.0698,=0,=17.0305,=16.9752,=16.7880
2011-08-09,3275.319,=8198102190846.1006,=4553120888354,=1856322509490.6504,16.0707,=0.2000,=17.0305,=16.8816,=16.0707
2011-08-10,3299.52,=8241453659142,=4585281155474,=1869383752755.0549,16.26,=0.3333,=17.0305,=16.7880,=16.0707
2011-08-11,3360.428,=8340468828592.1982,=4645642110398,=1903692969211.7649,16.5155,=0.4286,=17.0305,=16.6517,=16.0707
2011-08-12,3354.644,=8331397866264.9004,=4640764245407,=1907240990511.7349,16.569,=0.5000,=16.9752,=16.5690,=16.2600
2011-08-15,3430.249,=8473801134829.7002,=4730951991529,=1951781284464.2036,16.8346,=0.6667,=16.9752,=16.6785,=16.2600
2011-08-16,3406.118,=8411804009805.0996,=4695094148439,=1936926529138.5212,16.6086,=0.5000,=16.9752,=16.6086,=16.2600
2011-08-17,3405.918,=8422552562377.8994,=4699916380421,=1936485930298.8811,16.5339,=0.3636,=16.9752,=16.5888,=16.2600
2011-08-18,3344.981,=8324298265991.5977,=4672142665609,=1901361186249.6289,16.0114,=0,=16.9752,=16.5690,=16.0707
2011-08-19,3317.242,=8237658671819.7998,=4629541707665,=1885148051285.0930,15.8252,=0,=16.8346,=16.5514,=16.0707
2011-08-22,3297.062,=8186931367348.9980,=4598328498234,=1874363491812.0830,15.6867,=0,=16.8346,=16.5339,=16.0698
2011-08-23,3362.654,=8303327373831,=4671444856642,=1911352475040.6960,15.9783,=0.1333,=16.8346,=16.5247,=16.0114
2011-08-24,3338.206,=8244501831170.5000,=4630221374363,=1895171959351.3010,15.8548,=0.1250,=16.8346,=16.5155,=15.9783
2011-08-25,3482.734,=8521682199413.8018,=4795992117941,=1977814661912.4343,16.4841,=0.4706,=16.8346,=16.4998,=15.9783
