日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-11-28,=5891.3400,=9724.4300,=24542017798558.6328,=17468436012799,=6893529421181.6592,=10.9399,=0.4428,=15.6237,=11.2268,=9.8500
2025-11-27,=5912.5300,=9759.4000,=24689171703848.8633,=17564300306944,=6919413078064.2227,=10.9760,=0.4508,=15.6237,=11.2280,=9.8500
2025-11-26,=5902.0300,=9742.0700,=24597273944217.6680,=17482046895355,=6906703441515.3799,=10.9397,=0.4426,=15.6245,=11.2298,=9.8500
2025-11-25,=5929.4500,=9787.0300,=24835779464192.1250,=17642952736079,=6939304411717.9873,=10.9987,=0.4549,=15.6398,=11.2310,=9.8500
2025-11-24,=5868.3800,=9685.9900,=24548712809065.6914,=17447969204975,=6867438609846.7871,=10.9051,=0.4360,=15.6439,=11.2321,=9.8500
2025-11-21,=5892.1900,=9725.2800,=24699079327155.3281,=17549538041872,=6896763181267.4023,=10.9436,=0.4428,=15.6475,=11.2325,=9.8500
2025-11-20,=6015.8100,=9927.9000,=25055472143432.9609,=17839608372002,=7038750704511.2314,=11.1999,=0.4932,=15.6475,=11.2331,=9.8500
2025-11-19,=6001.0100,=9900.2100,=24852316250905.2734,=17758604559350,=7019558167610.6074,=11.1342,=0.4784,=15.6497,=11.2340,=9.8500
2025-11-18,=5971.1900,=9851.0100,=24616280539753.3516,=17613867916904,=6982780302057.9277,=11.0904,=0.4718,=15.6530,=11.2351,=9.8500
2025-11-17,=5991.9900,=9882.6000,=24713062886237.3203,=17694833320315,=7005617156477.9121,=11.1543,=0.4813,=15.6611,=11.2361,=9.8500
2025-11-14,=6061.4400,=9995.4400,=25033548117284.9688,=17923164881299,=7087251928283.7393,=11.2890,=0.5115,=15.6669,=11.2363,=9.8500
2025-11-13,=6087.4000,=10038.2400,=25090494304236.7461,=17980278555763,=7116089964589.3311,=11.3280,=0.5208,=15.6669,=11.2363,=9.8500
2025-11-12,=6055.3900,=9985.4600,=25041908241816.0039,=17931043508904,=7079401414064.3164,=11.3128,=0.5179,=15.6852,=11.2363,=9.8500
2025-11-11,=6044.5400,=9966.8100,=24850541842880.0273,=17793283426991,=7067104207603.5000,=11.3005,=0.5142,=15.6899,=11.2363,=9.8500
2025-11-10,=6060.0900,=9992.4600,=24840750324805.0781,=17785676612876,=7083885671626.2715,=11.3126,=0.5167,=15.6996,=11.2363,=9.8500
2025-11-07,=6004.7300,=9901.1800,=24616272616269.4180,=17628487128083,=7020228438047.3789,=11.1991,=0.4909,=15.7125,=11.2363,=9.8500
2025-11-06,=6027.0400,=9937.9100,=24729319255816.4219,=17709090754840,=7044624906634.2490,=11.2362,=0.4994,=15.7125,=11.2373,=9.8500
2025-11-05,=6008.5100,=9907.2000,=24707585602532.5898,=17684815866263,=7025884804547.7969,=11.2020,=0.4924,=15.7127,=11.2392,=9.8500
2025-11-04,=6022.2500,=9929.6100,=24772295186776.1992,=17712405111214,=7041786639229.2813,=11.2318,=0.4965,=15.7155,=11.2403,=9.8500
2025-11-03,=5966.5200,=9837.7200,=24446360599123.4414,=17500002833850,=6973253571891.3193,=11.1253,=0.4776,=15.7179,=11.2412,=9.8500
2025-10-31,=5931.7400,=9780.3700,=24267858837842.6406,=17404345718448,=6929500471508.5771,=11.0652,=0.4667,=15.7254,=11.2448,=9.8500
2025-10-30,=5970.6900,=9844.5900,=24503765751637.7773,=17561882259346,=6956310639808.4727,=11.5175,=0.5533,=15.7254,=11.2469,=9.8500
2025-10-29,=6016.9100,=9920.8000,=24644129702519.5039,=17681942363541,=7004731633014.9092,=11.7067,=0.5825,=15.7424,=11.2469,=9.8500
2025-10-28,=6016.5100,=9920.1400,=24783217144215.8477,=17766735372540,=7014931949983.2598,=11.8206,=0.6085,=15.7449,=11.2469,=9.8500
2025-10-27,=6036.4800,=9949.7400,=24784489651529.9688,=17765199477997,=7049917522998.9834,=11.9095,=0.6274,=15.7475,=11.2469,=9.8500
2025-10-24,=6013.0200,=9911,=24591608024798.5117,=17607087188526,=7024204273512.8887,=11.8957,=0.6251,=15.7592,=11.2490,=9.8500
2025-10-23,=6019.7800,=9907.0200,=24592718450919.9805,=17610319024177,=7032125285113.8115,=11.9598,=0.6336,=15.7592,=11.2469,=9.8500
2025-10-22,=5979.8500,=9841.3000,=24456233015778.5117,=17519870303305,=6985335266325.5820,=11.8909,=0.6237,=15.7596,=11.2469,=9.8500
