日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-11-28,=6412.2100,=8108.7300,=6234510462382.3105,=4948740892559,=2464355624594.7788,=21.6730,=0.1786,=31.8837,=24.9953,=21.8342
2025-11-27,=6386.4700,=8076.1900,=6239065886434.4102,=4946497814730,=2460194964243.4097,=21.6224,=0.1713,=31.8837,=24.9983,=21.8401
2025-11-26,=6390.6600,=8081.4800,=6241101570192.3613,=4947186395707,=2467616050970.4907,=21.6302,=0.1721,=31.9080,=25.0015,=21.8445
2025-11-25,=6387.6100,=8077.6400,=6238834352715.6797,=4943439165841,=2459595670845.7305,=21.6413,=0.1746,=31.9146,=25.0077,=21.8469
2025-11-24,=6350.5500,=8030.7600,=6172751503296.9004,=4895664928470,=2438264377968.0200,=21.4831,=0.1556,=31.9221,=25.0150,=21.8479
2025-11-21,=6312.8000,=7982.2500,=6179285672118.9707,=4901087376207,=2438893451783.1104,=21.4322,=0.1461,=31.9368,=25.0166,=21.8490
2025-11-20,=6420.6900,=8118.6700,=6297018806953.2383,=4993627501568,=2483158154407.4209,=21.8342,=0.1976,=31.9368,=25.0207,=21.8512
2025-11-19,=6470.5000,=8181.6500,=6328984792670.5068,=5022836340652,=2500438279742.8091,=22.0097,=0.2203,=31.9390,=25.0256,=21.8513
2025-11-18,=6516.0300,=8239.2300,=6297078704809.2910,=5007461436333,=2501300179635.8701,=22.0213,=0.2215,=31.9474,=25.0269,=21.8513
2025-11-17,=6543.9000,=8274.4600,=6325315353729.4785,=5031767527913,=2507289319139.7612,=22.1229,=0.2347,=31.9484,=25.0286,=21.8513
2025-11-14,=6591.8100,=8334.9600,=6406452261846.2598,=5088757337683,=2537436413170.3906,=22.3403,=0.2613,=31.9518,=25.0313,=21.8513
2025-11-13,=6634.4600,=8388.8900,=6463235455787.8408,=5134284629818,=2556049509361.1704,=22.5272,=0.2804,=31.9518,=25.0316,=21.8513
2025-11-12,=6577.4300,=8316.7800,=6403690208934.7510,=5088755198106,=2529939561742.6294,=22.4075,=0.2651,=31.9565,=25.0325,=21.8513
2025-11-11,=6557.7800,=8291.3600,=6338971828861.6709,=5045276729644,=2510821400086.1494,=22.2946,=0.2577,=31.9613,=25.0371,=21.8513
2025-11-10,=6543.5000,=8271.4300,=6368016508587.4600,=5065505077210,=2515713119362.8008,=22.3117,=0.2585,=31.9653,=25.0421,=21.8513
2025-11-07,=6406.4200,=8098.1500,=6249823343287.7188,=4965157761213,=2470064641185.7310,=21.8288,=0.1967,=31.9806,=25.0436,=21.8513
2025-11-06,=6422.8400,=8118.9100,=6264286726547.7402,=4973042253753,=2472867984372.6494,=21.8243,=0.1960,=31.9806,=25.0501,=21.8520
2025-11-05,=6437.4200,=8137.3500,=6225667519655.1113,=4946188608946,=2464348346202.5703,=21.7551,=0.1853,=31.9929,=25.0585,=21.8526
