Date,Close,市值(元),流通市值(元),自由流通市值(元),pe,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2010-06-01,973.233,=332414189174.4000,=75562776120,=71846823488.4000,61.3033,,=61.3033,=61.3033,=61.3033
2010-06-02,997.119,=340332825783.2000,=77417327820,=73634483823.2200,62.7195,=1,=62.7195,=62.0114,=61.3033
2010-06-03,998.394,=355241515766.8000,=80480928400,=76708354300.3000,62.245,=0.5000,=62.7195,=62.2450,=61.3033
2010-06-04,1027.681,=366337388888.7999,=82841635800,=79002469171.3000,64.3473,=1,=62.7195,=62.4823,=62.2450
2010-06-07,1069.468,=380918353943.8001,=86210084960,=82225760937.4800,67.304,=1,=64.3473,=62.7195,=62.2450
2010-06-08,1067.154,=379993718504.6000,=86023579320,=82020444341.6000,67.4688,=1,=67.3040,=63.5334,=62.2450
2010-06-09,1077.823,=396918642054.8000,=89551921240,=85514551455.8200,67.0605,=0.6667,=67.3040,=64.3473,=62.2450
2010-06-10,1117.478,=412159219138.3001,=92846673660,=88697503257.4600,69.0117,=1,=67.4688,=65.7039,=62.2450
2010-06-11,1122.199,=413961361948.4000,=93238955140,=89091605886.0200,69.7751,=1,=67.4688,=67.0605,=62.7195
2010-06-17,1064.839,=392115835773,=88473175820,=84506463969.6600,66.2728,=0.4444,=67.4688,=66.6666,=62.7195
2010-06-18,1000.277,=368198355373.3000,=83108949860,=79352740112.1400,62.3791,=0.2000,=67.4688,=66.2728,=62.3791
2010-06-21,1040.802,=383176727655.1000,=87099038000,=82574498329.0400,65.0531,=0.4545,=67.4688,=65.6629,=62.3791
2010-06-22,1034.995,=380851998725.7000,=86613062800,=82094335904.7200,65.1048,=0.5000,=67.4688,=65.1048,=62.3791
2010-06-23,1047.337,=385501508650,=87645910700,=83051775182.4400,65.8759,=0.5385,=67.3040,=65.4904,=62.7195
2010-06-24,1050.601,=386562469773.2000,=87908322640,=83298234376.9400,65.9852,=0.5714,=67.3040,=65.8759,=62.7195
2010-06-25,1016.283,=387382609384.7000,=87802832640,=83316458071.7400,63.1106,=0.2667,=67.3040,=65.4904,=62.7195
2010-06-28,987.827,=376830745582.7000,=85701797500,=81020405476.6600,61.5464,=0.0625,=67.3040,=65.1048,=62.3791
2010-06-29,913.309,=348805215680.2000,=79386416800,=74922022554.4600,57.176,=0,=67.3040,=65.0790,=62.2450
2010-06-30,919.314,=351030550610.5000,=80031530700,=75645912526.7600,57.6472,=0.0556,=67.0605,=65.0531,=62.2450
2010-07-01,882.19,=337287165514.7000,=76835158640,=72634933719.7200,55.6448,=0,=67.0605,=64.7002,=61.5464
2010-07-02,873.12,=333445924873.5000,=76053297035,=71875263601.2200,55.4069,=0,=67.0605,=64.3473,=61.3033
2010-07-05,862.268,=329009059524.8000,=75078842440,=70927692186.0800,54.9182,=0,=67.0605,=63.7289,=57.6472
2010-07-06,893.718,=340889989886.4000,=77757069750,=73470480828.7000,56.6463,=0.1364,=67.0605,=63.1106,=57.1760
2010-07-07,908.549,=346669624827,=79080642655,=74735079012.1600,57.429,=0.2174,=66.2728,=62.9150,=57.4290
2010-07-08,905.509,=354114309972.2000,=80600805245,=76178760937.6000,56.9848,=0.1667,=66.2728,=62.7195,=57.1760
2010-07-09,932.147,=363943149276.3000,=82878155580,=78337289977.1200,58.4364,=0.3200,=66.2728,=62.5493,=57.1760
2010-07-12,930.173,=363007427948.8000,=82662266215,=78161347099.0200,58.3066,=0.3077,=66.2728,=62.3791,=57.1760
2010-07-13,931.08,=363037435394.5000,=82761239195,=78276608728.8400,58.4353,=0.3333,=66.2728,=62.3121,=57.1760
2010-07-14,922.362,=359700508944.9000,=81979674710,=77556683633.0600,58.1093,=0.2857,=65.9852,=62.2450,=57.4290
2010-07-15,892.557,=347994137042.6000,=79271086620,=74984145894.4000,55.9043,=0.1034,=65.9852,=61.8957,=57.1760
2010-07-16,892.298,=347680011185.9000,=79240421775,=74951286812.1800,55.8862,=0.1000,=65.9852,=61.5464,=56.9848
