日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-11-28,=3052.5900,,=8309080886612.8926,=7039203423517,=4910926892122.7012,=38.3858,=0.5827,=47.1371,=36.4617,=29.9606
2025-11-27,=3031.3000,=3360.5200,=8245848146263.2910,=6987917129654,=4876208098177.9492,=38.0131,=0.5690,=47.1371,=36.4615,=29.9606
2025-11-26,=3044.6900,=3375.3800,=8277804921289.0557,=7019329701560,=4899365919442.4785,=37.9952,=0.5673,=47.1437,=36.4615,=29.9606
2025-11-25,=2980.9300,=3304.6900,=8146570680655.0859,=6889988615660,=4795733368318.7480,=37.8533,=0.5628,=47.1634,=36.4615,=29.9606
2025-11-24,=2929.0400,=3247.1600,=8027939400475.8506,=6779843740612,=4712820285986.7002,=37.4523,=0.5504,=47.1651,=36.4615,=29.9606
2025-11-21,=2920.0800,=3237.2300,=7995583895495.4775,=6755072807137,=4698446024530.7598,=37.1158,=0.5362,=47.2989,=36.4617,=29.9606
2025-11-20,=3042.3400,=3372.7700,=8307530172813.8740,=6975436634667,=4895803790451.0586,=38.4189,=0.5825,=47.2989,=36.4615,=29.9606
2025-11-19,=3076.8500,=3411.0200,=8417772865712.1094,=7064293296278,=4951064885905.7217,=38.8808,=0.5932,=47.3353,=36.4615,=29.9606
2025-11-18,=3069.2200,=3402.5700,=8403881695749.3330,=7051574130285,=4940034473048.4883,=39.0924,=0.5986,=47.3697,=36.4615,=29.9606
2025-11-17,=3105.2000,=3442.4600,=8511028173809.1494,=7136507872851,=4999559941561.6787,=39.4918,=0.6097,=47.3938,=36.4615,=29.9606
2025-11-14,=3111.5100,=3449.4500,=8540494495259.4336,=7160940454520,=5008710428990.5703,=39.8157,=0.6222,=47.4122,=36.4617,=29.9606
2025-11-13,=3201.7500,=3549.4900,=8772964926428.1094,=7364394912755,=5156083796620.9277,=40.7236,=0.6501,=47.4122,=36.4615,=29.9606
2025-11-12,=3122.0300,=3461.1100,=8548385829475.4502,=7167563027503,=5030132897076.8301,=40.1860,=0.6336,=47.4960,=36.4615,=29.9606
2025-11-11,=3134.3200,=3474.2200,=8585008837866.6602,=7193252413954,=5047594762446.0703,=40.4206,=0.6406,=47.5159,=36.4615,=29.9606
2025-11-10,=3178.8300,=3523.5600,=8688720271525.8203,=7290910411906,=5116770020125.6104,=40.7259,=0.6492,=47.5283,=36.4615,=29.9606
2025-11-07,=3208.2100,=3556.1200,=8747686858603.0996,=7352029746960,=5159610476273.5400,=40.4624,=0.6412,=47.6192,=36.4617,=29.9606
2025-11-06,=3224.6200,=3574.3200,=8780942408185.2139,=7372983411272,=5185094899760.7197,=40.5152,=0.6427,=47.6192,=36.4615,=29.9606
2025-11-05,=3166.2300,=3509.5200,=8631423795475.6934,=7240668938645,=5091739147067.8115,=40.1107,=0.6311,=47.6267,=36.4615,=29.9606
2025-11-04,=3134.0900,=3473.8700,=8552089145348.1104,=7171098232285,=5042568240403.6709,=39.8790,=0.6237,=47.6373,=36.4615,=29.9606
2025-11-03,=3196.8700,=3543.4600,=8730052921425.4238,=7318408630675,=5144526626694.6602,=40.6977,=0.6464,=47.7055,=36.4615,=29.9606
2025-10-31,=3187.5300,=3532,=8711664697439.6855,=7304095997899,=5127270510326.0801,=40.6396,=0.6444,=47.8670,=36.4617,=29.9606
2025-10-30,=3263.0200,=3615.6500,=8882422752829.6934,=7468347617198,=5249804245627.6338,=40.7323,=0.6472,=47.8670,=36.4615,=29.9606
