日期,收盘点位,市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-11-28,=3888.6000,=75395279209596.7656,=59078616246597,=27195109952179.3555,=27.8076,=0.7543,=29.6702,=22.2849,=20.5687
2025-11-27,=3875.2600,=75226088677212.6094,=58878499940144,=27049399681539.0938,=27.6291,=0.7460,=29.6702,=22.2848,=20.5687
2025-11-26,=3864.1800,=75030371354979.8438,=58706569375833,=27015909528958.1914,=27.5690,=0.7439,=29.6848,=22.2848,=20.5687
2025-11-25,=3870.0200,=75177914292174.0781,=58784655979363,=27004631021472.8359,=27.6566,=0.7460,=29.7264,=22.2848,=20.5687
2025-11-24,=3836.7700,=74538461937043.8281,=58284800002709,=26753586925050.2461,=27.4141,=0.7398,=29.7280,=22.2848,=20.5687
2025-11-21,=3834.8900,=74589170655144.4063,=58263868919715,=26657462636921.2266,=27.2578,=0.7374,=29.8080,=22.2849,=20.5687
2025-11-20,=3931.0500,=76294987326025.3750,=59719562883769,=27413206679551.8555,=28.0947,=0.7653,=29.8080,=22.2848,=20.5687
2025-11-19,=3946.7400,=76466006126462.6563,=59970705654729,=27559389279754.9688,=28.2238,=0.7715,=29.8351,=22.2848,=20.5687
2025-11-18,=3939.8100,=76222999458007.4531,=59856242400838,=27591378678586.3984,=28.3825,=0.7765,=29.8480,=22.2848,=20.5687
2025-11-17,=3972.0300,=76771645376356.6875,=60343518416682,=27820214024058.5938,=28.7068,=0.7822,=29.8547,=22.2848,=20.5687
2025-11-14,=3990.4900,=77193364629455.3906,=60603597787174,=27939333817548.1992,=28.9052,=0.7835,=29.9741,=22.2849,=20.5687
2025-11-13,=4029.5000,=77887134984441.6563,=61207361670903,=28239961381414.8594,=29.0460,=0.7859,=29.9741,=22.2848,=20.5687
2025-11-12,=4000.1400,=77394993633433.0469,=60759803749109,=27951191051307.6289,=28.8688,=0.7834,=30.0184,=22.2848,=20.5687
2025-11-11,=4002.7600,=77249014285448.2656,=60784549819504,=28050320280695.0508,=28.9597,=0.7843,=30.0962,=22.2848,=20.5687
2025-11-10,=4018.6000,=77537096162403.2813,=61031684302268,=28185442728481.2383,=28.9675,=0.7843,=30.1344,=22.2848,=20.5687
2025-11-07,=3997.5600,=77104896692068.4063,=60695265159846,=28063289027264.9063,=28.7779,=0.7823,=30.2422,=22.2849,=20.5687
2025-11-06,=4007.7600,=77297220271627.1875,=60852299396116,=28125848679955.2383,=28.7714,=0.7822,=30.2422,=22.2848,=20.5687
2025-11-05,=3969.2500,=76582705785109.4063,=60264879769270,=27802956293340.8242,=28.5624,=0.7810,=30.2665,=22.2848,=20.5687
2025-11-04,=3960.1900,=76480921453931.1563,=60127425208068,=27742382708392.4844,=28.4103,=0.7781,=30.3454,=22.2848,=20.5687
2025-11-03,=3976.5200,=76667836706748.6875,=60372247979685,=27929046700826.8828,=28.5378,=0.7802,=30.3535,=22.2848,=20.5687
2025-10-31,=3954.7900,=76197919292895.0156,=60046557287572,=27835427184387.2891,=28.3917,=0.7761,=30.3705,=22.2849,=20.5687
2025-10-30,=3986.9000,=76824533004372.0938,=60544859470979,=27936468271894.8086,=28.1486,=0.7678,=30.3705,=22.2848,=20.5687
2025-10-29,=4016.3300,=77343121758819.8125,=60990503366930,=28144834639195.1836,=28.2542,=0.7727,=30.3727,=22.2848,=20.5687
2025-10-28,=3988.2200,=76916165815402.5938,=60562136160010,=27770288436760.8164,=28.3296,=0.7744,=30.3983,=22.2848,=20.5687
2025-10-27,=3996.9400,=77114973139694.7813,=60687527184241,=27844906741827.7383,=28.4072,=0.7760,=30.4127,=22.2848,=20.5687
2025-10-24,=3950.3100,=76253022039942.0938,=59955448861784,=27533189737819.9336,=28.1847,=0.7691,=30.4815,=22.2849,=20.5687
2025-10-23,=3922.4100,=75738032633536.5000,=59543306891071,=27278838209216.4531,=28.2059,=0.7699,=30.4815,=22.2848,=20.5687
2025-10-22,=3913.7600,=75532922448712.7031,=59410778527990,=27233777685378.7422,=28.0792,=0.7649,=30.5157,=22.2848,=20.5687
2025-10-21,=3916.3300,=75475968004042.2344,=59441737911340,=27318226788583.6992,=28.1237,=0.7666,=30.5754,=22.2848,=20.5687
2025-10-20,=3863.8900,=74572391191060.3281,=58646180596851,=26951146925816.6094,=27.8235,=0.7526,=30.6172,=22.2848,=20.5687
2025-10-17,=3839.7600,=74110398379616.5156,=58250854347817,=26795208096852.2500,=27.6790,=0.7461,=30.6281,=22.2849,=20.5687
2025-10-16,=3916.2300,=75480453820865.6406,=59391323248210,=27419606228079.3086,=28.1733,=0.7666,=30.6281,=22.2848,=20.5687
2025-10-15,=3912.2100,=75283736809973.5000,=59326268966108,=27484861605344.7695,=28.3287,=0.7711,=30.6498,=22.2848,=20.5687
2025-10-14,=3865.2300,=74437595920624.8750,=58601787743970,=27128392375874.1914,=28.0431,=0.7612,=30.6522,=22.2848,=20.5687
2025-10-13,=3889.5000,=74785840617753.9063,=58943622291967,=27427250604186.2656,=28.1109,=0.7637,=30.6571,=22.2848,=20.5687
2025-10-10,=3897.0300,=74854680469055.3125,=59047350232793,=27442969844000.8672,=28.2463,=0.7683,=30.6848,=22.2849,=20.5687
2025-10-09,=3933.9700,=75516429800047.6719,=59551167682944,=27813434027348.5547,=28.1181,=0.7645,=30.6848,=22.2848,=20.5687
2025-09-30,=3882.7800,=74590122796345.8281,=58753837937269,=27431330770659.7383,=27.8657,=0.7543,=30.7160,=22.2849,=20.5687
2025-09-29,=3862.5300,=74208274412228.1875,=58450802865143,=27224581331391.0352,=27.8332,=0.7523,=30.7162,=22.2849,=20.5687
2025-09-26,=3828.1100,=73616536190406.0313,=57902704825667,=26911009402522.9492,=27.6492,=0.7441,=30.7532,=22.2850,=20.5687
2025-09-25,=3853.3000,=74064929218032.8281,=58254683520964,=27116462253657.8398,=27.6870,=0.7461,=30.7532,=22.2849,=20.5687
2025-09-24,=3853.6400,=74061452984373.5625,=58255899936968,=27090038056218.8555,=27.8386,=0.7514,=30.8029,=22.2849,=20.5687
2025-09-23,=3821.8300,=73492358906057.9063,=57788331842175,=26789862201666.0898,=27.5522,=0.7424,=30.8064,=22.2849,=20.5687
2025-09-22,=3828.5800,=73496904896329.9219,=57887414027484,=26911772507071.6133,=27.6582,=0.7444,=30.8133,=22.2849,=20.5687
2025-09-19,=3820.0900,=73414049858771.1563,=57751900098767,=26793842385436.6172,=27.7730,=0.7478,=30.9013,=22.2850,=20.5687
2025-09-18,=3831.6600,=73572807760428.1094,=57914957239580,=26868583424441.5430,=27.7662,=0.7473,=30.9013,=22.2849,=20.5687
2025-09-17,=3876.3400,=74480820591875.1719,=58584990711963,=27137145421493.8594,=28.1752,=0.7613,=30.9086,=22.2849,=20.5687
2025-09-16,=3861.8700,=74186423880041.7188,=58379162751876,=27002787906107.9492,=28.0620,=0.7588,=30.9090,=22.2849,=20.5687
2025-09-15,=3860.5000,=74080594586851.1250,=58246985812378,=26962818748553.8008,=27.9715,=0.7547,=30.9542,=22.2849,=20.5687
