Date,Close,市值(元),流通市值(元),自由流通市值(元),pe,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2005-04-08,1003.445,=2549990447521.6997,=626019023363,=621678998801.0198,18.2688,,=18.2688,=18.2688,=18.2688
2005-04-11,995.421,=2530889556902.9014,=621010573116,=618288131943.1785,18.1393,=0,=18.2688,=18.2041,=18.1393
2005-04-12,978.697,=2488182891884.9995,=610191442649,=607435652160.7976,17.7319,=0,=18.2688,=18.1393,=17.7319
2005-04-13,1000.9,=2544417490793.7988,=624193929035,=621395434179.5812,18.2104,=0.6667,=18.2104,=18.1749,=18.1393
2005-04-14,986.975,=2518069237512.2988,=615564906895,=612856468983.8105,17.9247,=0.2500,=18.2104,=18.1393,=17.9247
2005-04-15,974.082,=2485670735599.2998,=607350826234,=604704040599.2347,17.6106,=0,=18.2104,=18.0320,=17.7319
2005-04-18,963.772,=2445397263938.5005,=599268870216,=598221081903.1355,17.3977,=0,=18.2104,=17.9247,=17.6106
2005-04-19,965.886,=2453724312622.8003,=602264292129,=599692735102.3776,17.4877,=0.1429,=18.2104,=17.8283,=17.4877
2005-04-20,950.867,=2425363267764.7012,=592823196422,=590369477577.5853,17.3211,=0,=18.1393,=17.7319,=17.4877
2005-04-21,943.981,=2409881680978.0991,=588622671834,=585888634447.0605,17.0654,=0,=18.1393,=17.6712,=17.3977
2005-04-22,939.101,=2406266788385.6997,=585214020836,=582918785188.3690,17.0559,=0,=18.1393,=17.6106,=17.3211
2005-04-25,930.07,=2379967384638.6016,=579477031747,=578241029779.4441,16.6631,=0,=18.1393,=17.5492,=17.0654
2005-04-26,937.083,=2387842362053.4995,=583965058874,=582700493268.2312,16.9759,=0.0833,=18.1393,=17.4877,=17.0559
2005-04-27,926.604,=2358434580639.9004,=576935658259,=575773773439.1335,16.7495,=0.0769,=17.9247,=17.4427,=17.0559
2005-04-28,942.073,=2404991908543.2012,=586682468604,=585495422501.7196,17.1405,=0.3571,=17.9247,=17.3977,=17.0559
2005-04-29,932.395,=2383544828437.4995,=580605359652,=579786844677.3221,16.9071,=0.1333,=17.9247,=17.3594,=16.9759
2005-05-09,909.174,=2354484714363.8989,=574388555304,=564994971723.8557,16.5608,=0,=17.9247,=17.3211,=16.9071
2005-05-10,913.076,=2371336671596.1001,=577040973386,=567545172197.5260,16.6659,=0.1176,=17.9247,=17.2308,=16.7495
2005-05-11,901.851,=2338801944796.0996,=568820488225,=560496324497.7026,16.4627,=0,=17.7319,=17.1405,=16.7495
2005-05-12,885.82,=2287962501594.4995,=559162159411,=550758646506.3295,16.2293,=0,=17.7319,=17.1029,=16.6659
2005-05-13,887.543,=2291249828146.1992,=560656047819,=551747348201.8834,16.266,=0.0500,=17.7319,=17.0654,=16.6631
2005-05-16,875.271,=2260295727664.0996,=552429782056,=544091175525.6308,15.9187,=0,=17.7319,=17.0606,=16.5608
2005-05-17,881.462,=2262108409731.5010,=556880912984,=547898672549.3259,16.0967,=0.0455,=17.7319,=17.0559,=16.4627
2005-05-18,883.196,=2263430644094.1016,=560962417613,=548776956424.4052,16.1348,=0.0870,=17.6106,=17.0159,=16.4627
2005-05-19,884.171,=2263324254586.2988,=561233928055,=549134139561.5653,16.1436,=0.1250,=17.6106,=16.9759,=16.2660
2005-05-20,882.763,=2256018821171.4995,=560074728769,=547952953240.2818,16.0935,=0.0400,=17.6106,=16.9415,=16.2293
2005-05-23,863.341,=2200223111664.3003,=546787882053,=534921335590.3266,15.6516,=0,=17.6106,=16.9071,=16.1436
2005-05-24,868.456,=2196400672444.8003,=549590269895,=537933235012.3863,15.7703,=0.0370,=17.6106,=16.8283,=16.1348
2005-05-25,868.451,=2191804034164.2000,=549485435648,=537789890085.2199,15.7884,=0.0714,=17.4877,=16.7495,=16.1348
2005-05-26,857.331,=2164086298468.8010,=542289958239,=530567596877.8334,15.5998,=0,=17.4877,=16.7077,=16.0967
2005-05-27,849.508,=2149200193202.7000,=537216026384,=525445610029.7010,15.4278,=0,=17.4877,=16.6659,=16.0935
2005-05-30,855.612,=2165301068142.2000,=541046000051,=529216221130.6301,15.5681,=0.0323,=17.4877,=16.6645,=15.9187
2005-05-31,855.946,=2167307058404.6001,=541195769588,=529188679433.1988,15.5577,=0.0313,=17.4877,=16.6631,=15.7884
2005-06-01,837.532,=2120048199746.7000,=529467923490,=517593390500.7110,15.2221,=0,=17.3977,=16.6120,=15.7884
2005-06-02,818.379,=2071991022301.2004,=517619073299,=505978072838.0570,14.9312,=0,=17.3977,=16.5608,=15.7703
