日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM中位数,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-12-01,=4576.4900,=6735.4900,=66624452366597.6797,=51003617135622,=23620077875180.7109,=21.6645,=0.3067,=28.0536,=23.4427,=20.8588
2025-11-28,=4526.6600,=6662.1600,=66097589341798.9609,=50532678470092,=23366994085711.9180,=21.6557,=0.3049,=28.0662,=23.4458,=20.8588
2025-11-27,=4515.4000,=6645.4100,=66124425730004.9688,=50505688423594,=23313186045393.8945,=21.4338,=0.2791,=28.0662,=23.4462,=20.8588
2025-11-26,=4517.6300,=6648.6800,=66010111035915.5625,=50397096944761,=23325791708398.1797,=21.5417,=0.2915,=28.0663,=23.4474,=20.8588
2025-11-25,=4490.4000,=6608.5400,=66000969331487.9922,=50315504250127,=23188759328547.2305,=21.5735,=0.2939,=28.0672,=23.4503,=20.8588
2025-11-24,=4448.0500,=6546.0600,=65465562119921.5469,=49909421024928,=22971380790515.9297,=21.4676,=0.2812,=28.0677,=23.4562,=20.8588
2025-11-21,=4453.6100,=6554.0400,=65768589181664.4063,=50114787185017,=23003892100039.0391,=21.5187,=0.2885,=28.0775,=23.4664,=20.8588
2025-11-20,=4564.9500,=6717.6200,=67038832167852.6484,=51187762063478,=23575475169504.2656,=22.1676,=0.3676,=28.0775,=23.4681,=20.8588
2025-11-19,=4588.2900,=6750.9600,=67141258034992.7031,=51373367469146,=23687760669108.0039,=22.1809,=0.3693,=28.0854,=23.4715,=20.8588
2025-11-18,=4568.1900,=6721.3900,=66646742012285.1016,=51030796314719,=23581610474195.0781,=22.2776,=0.3821,=28.0854,=23.4735,=20.8588
2025-11-17,=4598.0500,=6764.1200,=67021686803326.0938,=51344708823496,=23732347136844.2813,=22.3575,=0.3899,=28.0864,=23.4792,=20.8588
2025-11-14,=4628.1400,=6808.3100,=67505135983255.6016,=51693839483449,=23890196499925.3555,=22.4715,=0.4066,=28.0884,=23.4964,=20.8588
2025-11-13,=4702.0700,=6917.0200,=68303043366507.7188,=52397806190047,=24264321543914.5859,=22.7187,=0.4277,=28.0884,=23.4967,=20.8588
2025-11-12,=4645.9100,=6834.4000,=67850195931660.7734,=51975419361136,=23983622395137.3906,=22.4352,=0.4018,=28.0896,=23.4987,=20.8588
2025-11-11,=4652.1700,=6843.1800,=67663126072008.5078,=51879302508728,=24013280824723.7656,=22.4677,=0.4055,=28.0918,=23.5053,=20.8588
2025-11-10,=4695.0500,=6906.2600,=68098554767365.3438,=52263387784462,=24232002791953.8203,=22.4283,=0.3993,=28.1010,=23.5130,=20.8588
2025-11-07,=4678.7900,=6881.4600,=67722811234548.1094,=52010211116613,=24150854732819.9922,=22.6884,=0.4247,=28.1105,=23.5199,=20.8588
2025-11-06,=4693.4000,=6902.6600,=67933444525188.5313,=52180249283523,=24230652752176.4844,=22.7146,=0.4249,=28.1105,=23.5234,=20.8588
2025-11-05,=4627.2600,=6805.3800,=67225794915439.6328,=51583866215672,=23898167730216.9063,=22.6725,=0.4232,=28.1130,=23.5279,=20.8588
2025-11-04,=4618.7000,=6792.6800,=67182464598730.7422,=51512330032261,=23854991470650.0898,=22.3698,=0.3911,=28.1172,=23.5316,=20.8588
2025-11-03,=4653.4000,=6843.6000,=67335617151459.6719,=51722235796496,=24023183104697.5781,=22.7321,=0.4265,=28.1276,=23.5360,=20.8588
2025-10-31,=4640.6700,=6824.4300,=66913524842156.1016,=51457553372342,=23950181515467.1094,=22.8160,=0.4329,=28.1548,=23.5383,=20.8588
2025-10-30,=4709.9100,=6926.2600,=67822678353906.5313,=52209397083054,=24275595840456.0664,=23.1841,=0.4660,=28.1548,=23.5410,=20.8588
2025-10-29,=4747.8400,=6981.9600,=68228019811125.9063,=52556101588688,=24457575400831.0703,=23.4481,=0.4920,=28.1611,=23.5443,=20.8588
2025-10-28,=4691.9700,=6899.5300,=67776900628416.4063,=52107072518999,=24061515892484.1094,=22.7692,=0.4277,=28.1622,=23.5458,=20.8588
2025-10-27,=4716.0200,=6934.0100,=67988344763749.1797,=52266367025188,=24160059129561.1094,=22.8815,=0.4393,=28.1645,=23.5492,=20.8588
2025-10-24,=4660.6800,=6852.3100,=67223370150509.0781,=51614650635991,=23890149063003.3828,=22.4721,=0.4049,=28.1823,=23.5532,=20.8588
2025-10-23,=4606.3400,=6767.2100,=66727677269186.8438,=51178958243985,=23612004442819.3281,=22.5363,=0.4100,=28.1823,=23.5536,=20.8588
2025-10-22,=4592.5700,=6746.8700,=66440233986512.2266,=50996470952820,=23538265844904.7500,=22.4352,=0.4010,=28.1837,=23.5641,=20.8588
2025-10-21,=4607.8700,=6769.1100,=66370601391875.0234,=51001852901477,=23609649725805.3984,=22.6544,=0.4191,=28.1955,=23.5767,=20.8588
2025-10-20,=4538.2200,=6666.7500,=65572559228874.9766,=50283782888442,=23253305076002.8516,=22.4107,=0.3985,=28.1955,=23.5803,=20.8588
2025-10-17,=4514.2300,=6631.0300,=65190602887232,=49976607085380,=23123513089053.3711,=22.5334,=0.4086,=28.1987,=23.5822,=20.8588
2025-10-16,=4618.4200,=6782.7500,=66345402918603.8516,=50923061064585,=23652889466149.9531,=23.4524,=0.4887,=28.1987,=23.5848,=20.8588
2025-10-15,=4606.2900,=6763.2800,=65885091028061.2969,=50617691884063,=23564660136925.0586,=23.3014,=0.4780,=28.2017,=23.5948,=20.8588
2025-10-14,=4539.0600,=6663.2600,=65122840958389.4375,=49960569817333,=23226119927714.1016,=23.1172,=0.4541,=28.2039,=23.6027,=20.8588
2025-10-13,=4593.9800,=6743.8700,=65329151855042.6563,=50213743468318,=23492182793481.6406,=23.2355,=0.4697,=28.2039,=23.6082,=20.8588
2025-10-10,=4616.8300,=6776.9300,=65581934041364.2891,=50462477277760,=23607447339838.4805,=23.2735,=0.4737,=28.2129,=23.6156,=20.8588
2025-10-09,=4709.4800,=6912.5100,=66379653181924.5234,=51164341828777,=24074507510667.6836,=23.6509,=0.5027,=28.2129,=23.6157,=20.8588
2025-09-30,=4640.6900,=6811.5500,=65495410725536.2422,=50425066632541,=23725017247391.6133,=22.9720,=0.4428,=28.2129,=23.6158,=20.8588
2025-09-29,=4620.0500,=6779.7100,=65311796068733.4063,=50273002796457,=23624885582198.7617,=22.6868,=0.4210,=28.2129,=23.6239,=20.8588
2025-09-26,=4550.0500,=6676.9200,=64652513476731.7031,=49688722430762,=23269746919471.1758,=22.2259,=0.3739,=28.2129,=23.6360,=20.8588
2025-09-25,=4593.4900,=6739.9300,=65066550497005.2891,=50062143691391,=23488589191355.1172,=22.4327,=0.3988,=28.2129,=23.6395,=20.8588
2025-09-24,=4566.0700,=6699.3200,=64892540011357.7031,=49897225480910,=23353410042278.9336,=22.4651,=0.4021,=28.2129,=23.6436,=20.8588
2025-09-23,=4519.7800,=6630.7000,=64509674400123.0781,=49585339167778,=23125819289654.2227,=22.0597,=0.3556,=28.2129,=23.6441,=20.8588
2025-09-22,=4522.6100,=6634.8400,=64322535734458.8516,=49499634814430,=23134303399412.0586,=22.1611,=0.3663,=28.2129,=23.6536,=20.8588
2025-09-19,=4501.9200,=6604.4900,=64269440861986.9219,=49356108781636,=23031398050912.7070,=21.8906,=0.3377,=28.2129,=23.6550,=20.8588
2025-09-18,=4498.1100,=6598.8400,=64271378689204.9375,=49392704581376,=23013620559873.0430,=21.7412,=0.3140,=28.2129,=23.6557,=20.8588
