日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-11-28,=830.7700,=1089.4400,=3885991487719.7212,=3204491108638,=1957119232627.3601,=20.0850,=0.1391,=31.1006,=25.0831,=21.8200
2025-11-27,=827.0100,=1084.5100,=3869834366473.2412,=3190035069303,=1948254607020.0801,=19.9863,=0.1359,=31.1006,=25.0845,=21.8329
2025-11-26,=826.7600,=1084.1800,=3869068736926.8799,=3189947155822,=1947690930670.4590,=19.9707,=0.1350,=31.1006,=25.0845,=21.8329
2025-11-25,=828.8300,=1086.7700,=3877234650330.0903,=3197132376601,=1952404226022.7195,=20.0395,=0.1383,=31.1006,=25.0845,=21.8329
2025-11-24,=827,=1084.3700,=3870476000259.2402,=3192763183921,=1948043170729.9399,=20.0194,=0.1379,=31.1006,=25.0845,=21.8329
2025-11-21,=824.9400,=1081.6700,=3862634594840.6709,=3185702140130,=1943176271174.7100,=19.9814,=0.1370,=31.1006,=25.0831,=21.8200
2025-11-20,=854.3500,=1120.2400,=3989719730533.0098,=3295038946048,=2012845124332.5391,=20.7025,=0.1515,=31.1006,=25.0845,=21.8329
2025-11-19,=858.5600,=1125.7500,=4007381543972.2905,=3310480324945,=2023077334972.3989,=20.8138,=0.1540,=31.1006,=25.0845,=21.8329
2025-11-18,=858.9500,=1126.2700,=4008235603952.5610,=3311632181808,=2023822224284.2505,=20.8383,=0.1548,=31.1006,=25.0845,=21.8329
2025-11-17,=857.6400,=1124.5500,=4001821966037.4692,=3307021919311,=2020459939387.7295,=20.7874,=0.1540,=31.1006,=25.0845,=21.8329
2025-11-14,=866.7700,=1136.3800,=4046587333826.6191,=3343541396699,=2042473116405.7100,=21.0183,=0.1601,=31.1006,=25.0831,=21.8200
2025-11-13,=879.4600,=1153.0200,=4105744525256.6191,=3391961832458,=2072508225070.0801,=21.2878,=0.1725,=31.1006,=25.0845,=21.8329
2025-11-12,=870.0200,=1140.6400,=4064439490719.6699,=3357315357588,=2050217484669.6296,=21.0634,=0.1610,=31.1006,=25.0845,=21.8329
2025-11-11,=876.1100,=1148.4100,=4095898919788.8105,=3383283361656,=2064198244842.7305,=21.2407,=0.1696,=31.1006,=25.0845,=21.8329
2025-11-10,=887.0300,=1162.7300,=4147785439711.2500,=3424719798052,=2089862084352.2600,=21.4514,=0.1832,=31.1006,=25.0845,=21.8329
2025-11-07,=875.5300,=1147.6400,=4095683344893.1709,=3380254039500,=2062616913011.7000,=21.1350,=0.1658,=31.1006,=25.0831,=21.8200
2025-11-06,=883.4700,=1158.0300,=4132862397250.5991,=3411387348133,=2081220145165.0596,=21.3244,=0.1758,=31.1006,=25.0845,=21.8329
2025-11-05,=872.3500,=1143.4000,=4081023348804.9902,=3367880178585,=2054416498720.2700,=21.0303,=0.1626,=31.1006,=25.0845,=21.8329
2025-11-04,=875.3000,=1147.2700,=4095132492868.6191,=3379367045458,=2061391719955.2705,=21.1018,=0.1655,=31.1006,=25.0845,=21.8329
2025-11-03,=879.7000,=1153.0400,=4116485048569.8501,=3396578260004,=2071709093908.3301,=21.2060,=0.1696,=31.1006,=25.0845,=21.8329
2025-10-31,=881.7800,=1155.7600,=4127455696155.9902,=3405872907939,=2076413784415.0701,=21.3080,=0.1757,=31.1006,=25.0831,=21.8200
2025-10-30,=891.4200,=1168.4000,=4177585218117.7705,=3446593602538,=2097331139370.7700,=23.7926,=0.3804,=31.1006,=25.0845,=21.8329
2025-10-29,=909.6700,=1192.3200,=4264259328061.2002,=3516591590324,=2139751183530.1599,=24.7404,=0.4640,=31.1006,=25.0845,=21.8200
2025-10-28,=889.6200,=1166.0400,=4173161532554.2202,=3439870222744,=2092314669413.1797,=24.5745,=0.4463,=31.1006,=25.0845,=21.8128
2025-10-27,=895.7400,=1172.7700,=4206225526444.2202,=3467773321267,=2106661696247.3296,=24.8825,=0.4804,=31.1006,=25.0845,=21.8115
2025-10-24,=885.7100,=1159.6200,=4157800069554.8999,=3427218301919,=2083351675042.6096,=24.7664,=0.4679,=31.1006,=25.0831,=21.7905
2025-10-23,=877.8300,=1149.1300,=4121866517382.5508,=3397522093605,=2064625810544.1396,=24.5917,=0.4496,=31.1006,=25.0845,=21.7905
2025-10-22,=869.0500,=1137.6400,=4080394198355.0698,=3362625361490,=2044106035037.3000,=24.3463,=0.4265,=31.1006,=25.0845,=21.7865
2025-10-21,=877.8200,=1148.9600,=4123568961805.6191,=3397532761640,=2064711871799.7705,=24.6017,=0.4512,=31.1006,=25.0845,=21.7859
2025-10-20,=869.9300,=1138.6200,=4088512878466.4810,=3367412261664,=2046041153611.2695,=24.3840,=0.4290,=31.1006,=25.0845,=21.7832
2025-10-17,=868.9900,=1137.3800,=4088969565163.6201,=3366453104152,=2043619898340.4895,=24.3840,=0.4296,=31.1006,=25.0831,=21.7697
2025-10-16,=887.4900,=1161.6000,=4176989769810.6694,=3439642661361,=2087065835174.1104,=24.9107,=0.4833,=31.1006,=25.0845,=21.7697
